Code,Governance Units,Provinces,Districts,Name of Government Unit
1,Province,Koshi Province,Province,Koshi Province
2,Province,Madhesh Province,Province,Madhesh Province
3,Province,Bagmati Province,Province,Bagmati Province
4,Province ,Gandaki Province,Province,Gandaki Province
5,Province,Lumbini Province,Province,Lumbini Province
6,Province,Karnali Province,Province,Karnali Province
7,Province,Sudurpashchim Province,Province,Sudurpashchim Province
