Code,Governance Units,Provinces,Districts,Name of Government Unit,Total population,Total expected live birth,Population under 1 year,Population 12 - 23 months,Nutrition (0-23 Month),Nutrition (6-23 months),Population under 5 years ARI/ CDD/ Nutrition,Population aged 6-59 months,Nutrition (12-59 Month),Adolescent population aged 10-19 years,Female population aged 15-49 years,Married Female population aged 15-49 years,Total expected pregnancies
31203,Rural Municipality,Province 3,Makwanpur,Kailash Rural Municipality,25335,555,537,831,1368,1100,3636,3368,3099,5422,6083,4611,654
31204,Rural Municipality,Province 3,Makwanpur,Raksirang Rural Municipality,27741,608,588,949,1537,1243,4063,3769,3475,6253,6778,5138,717
31205,Rural Municipality,Province 3,Makwanpur,Manahari Rural Municipality,41859,917,887,958,1845,1402,4531,4088,3644,9136,11601,8794,1081
31206,Sub-Metropolitan City,Province 3,Makwanpur,Hetauda Sub-Metropolitan City,167778,3674,3558,2694,6252,4471,13706,11925,10148,33921,52083,39478,4334
31207,Rural Municipality,Province 3,Makwanpur,Bhimphedi Rural Municipality,26856,588,569,521,1090,806,2537,2253,1968,5633,7135,5408,693
31208,Rural Municipality,Province 3,Makwanpur,Makawanpurgadhi Rural Municipality,27028,592,573,619,1192,906,2913,2627,2340,6193,7472,5664,698
31209,Rural Municipality,Province 3,Makwanpur,Bakaiya Rural Municipality,41906,918,888,1148,2036,1592,5378,4934,4490,9384,11307,8571,1083
31210,Rural Municipality,Province 3,Makwanpur,Bagmati Rural Municipality,32377,709,686,790,1476,1133,3857,3514,3171,7286,8628,6540,836
31301,Municipality ,Province 3,Chitwan,Rapti Municipality,69129,1547,1498,1849,3347,2598,8504,7755,7006,14820,18537,14051,1824
31302,Municipality ,Province 3,Chitwan,Kalika Municipality,51852,1161,1123,1302,2425,1864,6071,5510,4948,10761,13812,10469,1369
31303,Rural Municipality,Province 3,Chitwan,Ichchha Kamana Rural Municipality,28966,648,627,1020,1647,1334,4359,4046,3732,6500,6868,5206,764
31304,Metropolitan City,Province 3,Chitwan,Bharatpur Metropolitan City,326351,7307,7069,6168,13237,9702,30977,27442,23908,68294,97210,73685,8617
31305,Municipality ,Province 3,Chitwan,Ratnanagar Municipality,80029,1791,1734,1416,3150,2283,7124,6257,5390,17347,24141,18299,2112
31306,Municipality ,Province 3,Chitwan,Khairahani Municipality,64975,1454,1408,1223,2631,1927,5957,5253,4549,14204,19894,15080,1715
31307,Municipality ,Province 3,Chitwan,Madi Municipality,43387,971,940,1158,2098,1628,5214,4744,4274,9315,12575,9532,1145
40101,Rural Municipality,Gandaki Province,Gorkha,Chumanubri Rural Municipality,7245,174,168,196,364,280,946,862,778,1028,1944,1474,205
40102,Rural Municipality,Gandaki Province,Gorkha,Ajirkot Rural Municipality,14592,350,339,317,656,487,1544,1375,1205,3123,4351,3298,413
40103,Rural Municipality,Gandaki Province,Gorkha,Sulikot Rural Municipality,23323,559,541,557,1098,828,2647,2377,2106,5090,7023,5323,659
40104,Rural Municipality,Gandaki Province,Gorkha,Dharche Rural Municipality,12538,301,291,385,676,531,1684,1539,1393,2452,3550,2691,355
40105,Rural Municipality,Gandaki Province,Gorkha,Aarughat Rural Municipality,22279,534,517,513,1030,772,2417,2159,1900,4961,6837,5182,630
40106,Rural Municipality,Gandaki Province,Gorkha,Bhimsen Rural Municipality,20297,487,471,355,826,591,1886,1651,1415,4529,6442,4883,574
40107,Rural Municipality,Gandaki Province,Gorkha,Siranchowk Rural Municipality,21896,525,508,433,941,687,2068,1814,1560,4595,6839,5184,619
40108,Municipality ,Gandaki Province,Gorkha,Palungtar Municipality,35608,854,826,724,1550,1137,3611,3198,2785,7348,11421,8657,1007
40109,Municipality ,Gandaki Province,Gorkha,Gorkha Municipality,49317,1182,1145,899,2044,1469,4686,4111,3541,10082,15978,12111,1394
40110,Rural Municipality,Gandaki Province,Gorkha,Shahid Lakhan Rural Municipality,25597,614,594,516,1110,813,2442,2145,1848,5721,8270,6269,724
40111,Rural Municipality,Gandaki Province,Gorkha,Gandaki Rural Municipality,21563,517,500,373,873,623,2030,1780,1530,4902,6443,4884,610
40201,Rural Municipality,Gandaki Province,Manang,Naraphu Rural Municipality,542,10,9,9,17,13,50,46,41,102,139,105,12
40202,Rural Municipality,Gandaki Province,Manang,Neshang Rural Municipality,2369,42,40,36,76,56,198,178,158,544,522,396,50
40203,Rural Municipality,Gandaki Province,Manang,Chame Rural Municipality,1397,24,24,40,64,52,157,145,133,276,315,238,27
40204,Rural Municipality,Gandaki Province,Manang,Nashong Rural Municipality,2087,37,36,63,99,81,261,243,225,453,489,371,44
40301,Rural Municipality,Gandaki Province,Mustang,Dalome Rural Municipality,1374,28,27,34,61,48,167,154,140,167,415,315,33
40302,Rural Municipality,Gandaki Province,Mustang,Gharpajhong Rural Municipality,3366,69,67,68,135,102,317,284,250,820,804,609,81
40303,Rural Municipality,Gandaki Province,Mustang,Bahragaun Muktikshetra Rural Municipality,2330,48,46,53,99,75,228,204,182,361,722,548,56
40304,Rural Municipality,Gandaki Province,Mustang,Lomanthang Rural Municipality,2123,43,42,32,74,53,184,163,142,470,591,448,51
40305,Rural Municipality,Gandaki Province,Mustang,Thasang Rural Municipality,2887,59,57,78,135,107,351,323,294,760,676,512,70
40401,Rural Municipality,Gandaki Province,Myagdi,Annapurna Rural Municipality,13143,309,299,190,489,340,1016,867,717,2517,4017,3045,364
40402,Rural Municipality,Gandaki Province,Myagdi,Raghuganga Rural Municipality,15492,364,352,322,674,498,1576,1400,1224,3085,4803,3641,429
40403,Rural Municipality,Gandaki Province,Myagdi,Dhawalagiri Rural Municipality,13620,320,310,389,699,544,1757,1602,1447,2821,3846,2915,377
40404,Rural Municipality,Gandaki Province,Myagdi,Malika Rural Municipality,18718,440,426,482,908,695,2211,1998,1785,4295,5520,4184,519
40405,Rural Municipality,Gandaki Province,Myagdi,Mangala Rural Municipality,15947,375,363,342,705,524,1660,1479,1297,3527,4977,3773,442
40406,Municipality ,Gandaki Province,Myagdi,Beni Municipality,35052,823,796,613,1409,1010,3230,2831,2434,7487,10966,8312,972
40501,Rural Municipality,Gandaki Province,Kaski,Madi Rural Municipality,20812,460,450,548,998,773,2391,2166,1941,4388,5253,3982,542
40502,Rural Municipality,Gandaki Province,Kaski,Machhapuchchhre Rural Municipality,25151,555,544,693,1237,965,3016,2744,2472,5251,6712,5088,654
40503,Rural Municipality,Gandaki Province,Kaski,Annapurna Rural Municipality,26941,595,582,706,1288,997,3098,2807,2516,6106,7436,5636,702
40504,Metropolitan City,Gandaki Province,Kaski,Pokhara Lekhnath Metropolitan City,470787,10397,10176,9625,19801,14710,47331,42240,37155,99737,136627,103564,12260
40505,Rural Municipality,Gandaki Province,Kaski,Rupa Rural Municipality,16568,366,358,363,721,542,1704,1525,1346,3650,4494,3406,432
40601,Rural Municipality,Gandaki Province,Lamjung,Dordi Rural Municipality,18290,433,419,437,856,647,2005,1796,1586,3903,5359,4062,511
40602,Rural Municipality,Gandaki Province,Lamjung,Marshyangdi Rural Municipality,19118,452,438,457,895,676,2079,1860,1641,3920,5663,4293,533
40603,Rural Municipality,Gandaki Province,Lamjung,Kwhola Sothar Rural Municipality,10171,241,233,256,489,373,1142,1026,909,2108,2982,2260,284
40604,Municipality ,Gandaki Province,Lamjung,Madhya Nepal Municipality,23866,565,546,466,1012,739,2318,2045,1772,5360,7437,5637,666
40605,Municipality ,Gandaki Province,Lamjung,Bensi Shahar Municipality,42436,1004,972,798,1770,1282,4179,3691,3207,8668,13174,9986,1184
40606,Municipality ,Gandaki Province,Lamjung,Sundarbazar Municipality,25776,653,632,515,1147,831,2718,2402,2086,5886,8906,6751,770
40607,Municipality ,Gandaki Province,Lamjung,Rainas Municipality,18634,441,427,390,817,604,1900,1687,1473,4078,5828,4418,520
40608,Rural Municipality,Gandaki Province,Lamjung,Dudhapokhari Rural Municipality,10974,260,251,245,496,371,1147,1022,896,2332,3180,2410,307
40701,Municipality ,Gandaki Province,Tanahu,Bhanu Municipality,48252,1167,1129,940,2069,1505,4629,4065,3500,9938,15126,11466,1376
40702,Municipality ,Gandaki Province,Tanahu,Byas Municipality,75707,1830,1772,1367,3139,2251,7181,6293,5409,15880,24501,18571,2159
40703,Rural Municipality,Gandaki Province,Tanahu,Myagde Rural Municipality,23559,570,551,473,1024,749,2315,2040,1764,5017,7430,5632,672
40704,Municipality ,Gandaki Province,Tanahu,Shuklagandaki Municipality,52909,1279,1238,1029,2267,1648,5186,4567,3948,10892,16704,12662,1508
40705,Municipality ,Gandaki Province,Tanahu,Bhimad Municipality,32716,791,765,695,1460,1078,3498,3116,2733,7022,10528,7980,933
40706,Rural Municipality,Gandaki Province,Tanahu,Ghiring Rural Municipality,20039,484,469,538,1007,773,2473,2239,2004,4546,6212,4709,571
40707,Rural Municipality,Gandaki Province,Tanahu,Rhishing Rural Municipality,26713,646,625,683,1308,996,3238,2926,2613,6010,8095,6136,762
40708,Rural Municipality,Gandaki Province,Tanahu,Devghat Rural Municipality,17272,418,404,410,814,612,1866,1664,1462,3789,4885,3703,493
40709,Rural Municipality,Gandaki Province,Tanahu,Bandipur Rural Municipality,21114,510,494,401,895,648,2013,1766,1519,4421,6400,4851,601
40710,Rural Municipality,Gandaki Province,Tanahu,Aanbu Khaireni Rural Municipality,22214,537,520,497,1017,757,2348,2088,1828,4547,6912,5239,633
40801,Municipality ,Gandaki Province,Nawalparasi East,Gaidakot Municipality,65082,1554,1505,1085,2590,1836,5594,4840,4089,13894,20212,15321,1833
40802,Rural Municipality,Gandaki Province,Nawalparasi East,Bulingtar Rural Municipality,20732,496,480,566,1046,806,2597,2357,2117,4765,5927,4493,585
40803,Rural Municipality,Gandaki Province,Nawalparasi East,Bungdikali Rural Municipality,17043,408,394,444,838,641,2072,1875,1678,3962,4976,3772,481
40804,Rural Municipality,Gandaki Province,Nawalparasi East,Hupsekot Rural Municipality,27291,653,632,735,1367,1051,3407,3091,2775,6135,8066,6114,770
40805,Municipality ,Gandaki Province,Nawalparasi East,Devchuli Municipality,46944,1123,1087,874,1961,1418,4386,3843,3299,9871,14813,11228,1324
40806,Municipality ,Gandaki Province,Nawalparasi East,Kawasoti Municipality,68723,1644,1591,1245,2836,2041,6302,5507,4711,14934,21930,16623,1939
40807,Municipality ,Gandaki Province,Nawalparasi East,Madhya Bindu Municipality,59566,1425,1379,1216,2595,1906,5972,5283,4593,13033,18756,14217,1680
40808,Rural Municipality,Gandaki Province,Nawalparasi East,Binayi Tribeni Rural Municipality,36250,867,839,827,1666,1247,4027,3608,3188,7712,11061,8384,1022
40901,Municipality ,Gandaki Province,Syangja,Putalibazar Municipality,41741,1018,985,757,1742,1248,3869,3375,2884,8117,13222,10021,1200
40902,Rural Municipality,Gandaki Province,Syangja,Phedikhola Rural Municipality,11169,272,264,206,470,338,1058,926,794,2275,3656,2771,321
40903,Rural Municipality,Gandaki Province,Syangja,Aandhikhola Rural Municipality,14838,362,350,319,669,494,1528,1353,1178,3218,4710,3570,427
40904,Rural Municipality,Gandaki Province,Syangja,Arjun Choupari Rural Municipality,14477,353,342,345,687,516,1589,1418,1247,3266,4532,3435,416
40905,Municipality ,Gandaki Province,Syangja,Bhirkot Municipaity,23154,565,547,518,1065,792,2520,2247,1973,4759,7350,5571,666
40906,Rural Municipality,Gandaki Province,Syangja,Biruwa Rural Municipality,16524,403,390,328,718,523,1560,1365,1170,3569,5059,3835,475
40907,Rural Municipality,Gandaki Province,Syangja,Harinas Rural Municipality,15604,381,368,415,783,599,1869,1685,1501,3264,4754,3604,449
40908,Municipality ,Gandaki Province,Syangja,Chapakot Municipality,23697,578,559,570,1129,850,2728,2449,2169,4963,7460,5655,682
40909,Municipality ,Gandaki Province,Syangja,Walling Municipality,47283,1153,1116,892,2008,1450,4593,4035,3477,10044,15203,11524,1360
40910,Municipality ,Gandaki Province,Syangja,Galyang Municipality,34424,840,813,686,1499,1093,3551,3145,2738,7794,10997,8336,991
40911,Rural Municipality,Gandaki Province,Syangja,Kaligandaki Rural Municipality,19805,483,467,370,837,604,1925,1692,1458,4302,6188,4691,570
41001,Rural Municipality,Gandaki Province,Parbat,Modi Rural Municipality,21406,512,496,503,999,751,2287,2039,1791,4426,6712,5088,604
41002,Rural Municipality,Gandaki Province,Parbat,Jaljala Rural Municipality,22035,527,510,478,988,733,2301,2046,1791,4606,6967,5281,621
41003,Municipality ,Gandaki Province,Parbat,Kushma Municipality,41549,994,962,754,1716,1234,3964,3482,3002,8370,12732,9650,1173
41004,Municipality ,Gandaki Province,Parbat,Phalebas Municipality,24731,592,573,489,1062,776,2428,2142,1855,5388,7806,5917,698
41005,Rural Municipality,Gandaki Province,Parbat,Mahashila Rural Municipality,9808,235,227,219,446,333,1039,926,812,2135,2953,2238,277
41006,Rural Municipality,Gandaki Province,Parbat,Bihadi Rural Municipality,13348,319,309,324,633,479,1540,1386,1231,2956,4075,3089,376
41007,Rural Municipality,Gandaki Province,Parbat,Paiyu Rural Municipality,15390,368,356,308,664,486,1583,1405,1227,3515,4774,3619,434
41101,Municipality ,Gandaki Province,Baglung,Baglung Municipality,63511,1542,1495,972,2467,1719,5315,4567,3820,12408,20659,15658,1818
41102,Rural Municipality,Gandaki Province,Baglung,Kathekhola Rural Municipality,27150,660,638,491,1129,810,2483,2164,1845,5885,9075,6879,778
41103,Rural Municipality,Gandaki Province,Baglung,Tarakhola Rural Municipality,12519,304,294,299,593,446,1375,1228,1081,2536,3893,2951,358
41104,Rural Municipality,Gandaki Province,Baglung,Tamankhola Rural Municipality,11016,268,259,308,567,438,1354,1225,1095,2313,3306,2506,316
41105,Municipality ,Gandaki Province,Baglung,Dhorpatan Municipality,27421,666,645,755,1400,1078,3446,3124,2801,5834,8113,6150,785
41106,Rural Municipality,Gandaki Province,Baglung,Nisikhola Rural Municipality,23905,581,562,662,1224,943,3022,2741,2460,5414,6878,5214,685
41107,Rural Municipality,Gandaki Province,Baglung,Badigad Rural Municipality,31810,773,748,830,1578,1204,3932,3558,3184,6866,9692,7347,912
41108,Municipality ,Gandaki Province,Baglung,Galkot Municipality,34551,840,812,611,1423,1017,3215,2809,2403,7243,11105,8418,991
41109,Rural Municipality,Gandaki Province,Baglung,Bareng Rural Municipality,14903,362,350,293,643,468,1480,1305,1130,3363,4778,3622,427
41110,Municipality ,Gandaki Province,Baglung,Jaimuni Municipality,33193,807,780,551,1331,941,2938,2548,2158,7376,10755,8152,952
50101,Rural Municipality,Province 5,Rukum East,Putha Uttanganga Rural Municipality,19431,429,415,387,802,594,1868,1660,1453,3774,5603,4247,505
50102,Rural Municipality,Province 5,Rukum East,Sisne Rural Municipality,17672,390,377,343,720,532,1697,1509,1320,3525,5274,3998,460
50103,Rural Municipality,Province 5,Rukum East,Bhoome Rural Municipality,19902,439,425,398,823,611,1907,1695,1482,4205,6004,4551,518
50201,Rural Municipality,Province 5,Rolpa,Sunchhahari Rural Municipality,16792,396,383,318,701,510,1668,1477,1285,3171,4654,3528,467
50202,Rural Municipality,Province 5,Rolpa,Thawang Rural Municipality,11554,273,264,224,488,356,1108,976,844,2332,3400,2577,322
50203,Rural Municipality,Province 5,Rolpa,Paribartan Rural Municipality,21686,511,495,454,949,702,2151,1904,1656,4808,6832,5179,603
50204,Rural Municipality,Province 5,Rolpa,Gangadev Rural Municipality,20587,486,470,451,921,686,2226,1991,1756,4736,6321,4791,573
50205,Rural Municipality,Province 5,Rolpa,Madi Rural Municipality,18938,447,432,405,837,621,1874,1658,1442,4076,5988,4539,527
50206,Rural Municipality,Province 5,Rolpa,Tribeni Rural Municipality,25542,602,583,447,1030,739,2363,2072,1780,5395,7777,5895,710
50207,Municipality ,Province 5,Rolpa,Rolpa Municipality,36540,861,834,652,1486,1067,3379,2960,2545,7590,11187,8479,1016
50208,Rural Municipality,Province 5,Rolpa,Runtigadhi Rural Municipality,29610,698,676,678,1354,1016,3223,2885,2547,6365,9327,7070,823
50209,Rural Municipality,Province 5,Rolpa,Sunil Smriti Rural Municipality,29155,688,666,614,1280,947,3026,2693,2360,6252,9010,6830,811
50210,Rural Municipality,Province 5,Rolpa,Lungri Rural Municipality,24147,570,551,649,1200,925,2961,2686,2410,4981,7270,5511,672
50301,Rural Municipality,Province 5,Pyuthan,Gaumukhi Rural Municipality,26242,642,621,645,1266,956,3087,2777,2466,5457,7736,5864,757
50302,Rural Municipality,Province 5,Pyuthan,Naubahini Rural Municipality,31399,768,744,761,1505,1133,3630,3258,2886,6440,9342,7081,906
50303,Rural Municipality,Province 5,Pyuthan,Jhimaruk Rural Municipality,29058,711,688,548,1236,892,2791,2447,2103,6589,9380,7110,838
50304,Municipality ,Province 5,Pyuthan,Pyuthan Municipality,42658,1044,1011,645,1656,1148,3576,3068,2565,8584,13555,10275,1231
50305,Municipality ,Province 5,Pyuthan,Sworgadwari Municipality,32483,795,769,743,1512,1128,3484,3100,2715,6793,10849,8224,938
50306,Rural Municipality,Province 5,Pyuthan,Mandavi Rural Municipality,15682,384,371,348,719,534,1682,1497,1311,3372,5053,3830,453
50307,Rural Municipality,Province 5,Pyuthan,Mallarani Rural Municipality,18716,458,443,343,786,565,1722,1501,1279,3970,6416,4863,540
50308,Rural Municipality,Province 5,Pyuthan,Aairawati Rural Municipality,23264,569,551,472,1023,748,2351,2076,1800,5089,7466,5659,671
50309,Rural Municipality,Province 5,Pyuthan,Sarumarani Rural Municipality,19340,473,458,404,862,633,2027,1798,1569,4218,6022,4565,558
50401,Rural Municipality,Province 5,Gulmi,Kali Gandaki Rural Municipality,17753,436,422,355,777,566,1757,1546,1335,3874,5470,4146,514
50402,Rural Municipality,Province 5,Gulmi,Satyawoti Rural Municipality,22537,554,536,380,916,648,2040,1772,1504,4628,7308,5539,653
50403,Rural Municipality,Province 5,Gulmi,Chandrakot Rural Municipality,20643,508,491,378,869,624,1932,1687,1441,4434,6788,5145,599
50404,Municipality ,Province 5,Gulmi,Musikot Municipality,30921,760,736,677,1413,1045,3301,2933,2565,6530,9696,7350,896
50405,Rural Municipality,Province 5,Gulmi,Isma Rural Municipality,19526,480,465,494,959,727,2275,2043,1810,4156,6018,4562,566
50406,Rural Municipality,Province 5,Gulmi,Malika Rural Municipality,20226,497,481,490,971,731,2304,2064,1823,4485,6181,4685,586
50407,Rural Municipality,Province 5,Gulmi,Madane Rural Municipality,20438,502,486,558,1044,801,2585,2342,2099,4349,6062,4595,592
50408,Rural Municipality,Province 5,Gulmi,Dhurkot Rural Municipality,20900,514,497,451,948,700,2179,1931,1682,4550,6682,5065,606
50409,Municipality ,Province 5,Gulmi,Resunga Municipality,32349,796,771,514,1285,897,2835,2447,2064,6887,10494,7955,940
50410,Rural Municipality,Province 5,Gulmi,Gulmi Durbar Rural Municipality,20647,508,491,405,896,651,2027,1782,1536,4337,6949,5267,599
50411,Rural Municipality,Province 5,Gulmi,Chhatrakot Rural Municipality,20171,496,480,427,907,667,2105,1865,1625,3972,6758,5123,585
50412,Rural Municipality,Province 5,Gulmi,Ruru Rural Municipality,17501,430,416,280,696,488,1527,1319,1111,3536,5677,4303,507
50501,Rural Municipality,Province 5,Arghakhanchi,Chhatradev Rural Municipality,25350,624,604,457,1061,759,2337,2035,1733,5603,8460,6413,736
50502,Rural Municipality,Province 5,Arghakhanchi,Malarani Rural Municipality,28221,694,672,652,1324,988,3104,2768,2432,6015,9321,7065,818
50503,Municipality ,Province 5,Arghakhanchi,Bhumikasthan Municipality,32989,812,786,732,1518,1125,3508,3115,2722,7169,10845,8221,958
50504,Municipality ,Province 5,Arghakhanchi,Sandhikharka Municipality,44137,1086,1050,659,1709,1183,3751,3225,2701,8683,14220,10778,1281
50505,Rural Municipality,Province 5,Arghakhanchi,Panini Rural Municipality,26579,654,633,574,1207,891,2762,2446,2129,5621,8445,6401,771
50506,Municipality ,Province 5,Arghakhanchi,Shitaganga Municipality,44294,1090,1055,1060,2115,1588,5079,4552,4024,9526,13064,9903,1285
50601,Municipality ,Province 5,Palpa,Rampur Municipality,34218,827,801,682,1483,1083,3515,3115,2714,7336,10863,8234,975
50602,Rural Municipality,Province 5,Palpa,Purbakhola Rural Municipality,18622,450,436,474,910,692,2204,1986,1768,4195,5765,4370,531
50603,Rural Municipality,Province 5,Palpa,Rambha Rural Municipality,19225,465,450,412,862,637,1956,1731,1506,4327,6228,4721,548
50604,Rural Municipality,Province 5,Palpa,Baganaskali Rural Municipality,20498,496,480,352,832,592,1839,1599,1359,4262,6732,5103,585
50605,Municipality ,Province 5,Palpa,Tansen Municipality,52443,1268,1227,715,1942,1327,4123,3508,2896,10320,16987,12875,1495
50606,Rural Municipality,Province 5,Palpa,Ribdikot Rural Municipality,17906,433,419,365,784,575,1811,1602,1392,3657,5642,4277,511
50607,Rural Municipality,Province 5,Palpa,Rainadevi Chhahara Rural Municipality,25267,611,591,676,1267,972,2983,2688,2392,5546,7694,5832,721
50608,Rural Municipality,Province 5,Palpa,Tinau Rural Municipality,18647,451,436,440,876,658,2058,1840,1622,3920,5591,4238,532
50609,Rural Municipality,Province 5,Palpa,Mathagadhi Rural Municipality,24029,581,562,532,1094,813,2590,2309,2028,5082,7376,5591,685
50610,Rural Municipality,Province 5,Palpa,Nisdi Rural Municipality,21694,525,508,569,1077,823,2694,2440,2186,4803,6357,4819,619
50701,Municipality ,Province 5,Nawalparasi West,Bardaghat Municipality,67445,1489,1441,1288,2729,2009,6255,5535,4814,14306,21144,16027,1756
50702,Municipality ,Province 5,Nawalparasi West,Sunawal Municipality,61842,1367,1322,1207,2529,1866,5854,5191,4532,13307,19516,14794,1612
50703,Municipality ,Province 5,Nawalparasi West,Ramgram Municipality,66146,1460,1413,1308,2721,2015,6467,5761,5054,12999,18063,13692,1722
50704,Rural Municipality,Province 5,Nawalparasi West,Palhinandan Rural Municipality,38518,850,823,983,1806,1395,4582,4171,3759,8197,10300,7807,1002
50705,Rural Municipality,Province 5,Nawalparasi West,Sarawal Rural Municipality,40961,904,875,922,1797,1330,4335,3898,3460,8471,11586,8782,1066
50706,Rural Municipality,Province 5,Nawalparasi West,Pratapapur Rural Municipality,49619,1095,1060,1182,2242,1712,5663,5133,4603,9777,13147,9965,1291
50707,Rural Municipality,Province 5,Nawalparasi West,Susta Rural Municipality,39136,864,836,1007,1843,1425,4733,4315,3897,8329,10668,8086,1019
50801,Municipality ,Province 5,Rupandehi,Devdaha Municipality,61911,1363,1319,1248,2567,1908,5915,5256,4596,13699,19341,14660,1607
50802,Sub-Metropolitan City,Province 5,Rupandehi,Butwal Sub-Metropolitan City,164123,3611,3496,2469,5965,4213,13096,11344,9600,33220,51925,39362,4257
50803,Municipality ,Province 5,Rupandehi,Sainamaina Municipality,66112,1455,1408,1146,2554,1850,5840,5136,4432,14387,20560,15584,1716
50804,Rural Municipality,Province 5,Rupandehi,Kanchan Rural Municipality,38142,839,812,733,1545,1139,3644,3238,2832,8505,12125,9191,989
50805,Rural Municipality,Province 5,Rupandehi,Gaidahawa Rural Municipality,54548,1201,1162,1528,2690,2109,6966,6385,5804,12043,13697,10382,1416
50806,Rural Municipality,Province 5,Rupandehi,Suddhodhan Rural Municipality,39836,877,848,794,1642,1218,3922,3498,3074,8951,11531,8740,1034
50807,Rural Municipality,Province 5,Rupandehi,Siyari Rural Municipality,44430,978,946,1009,1955,1482,4658,4185,3712,9681,12800,9702,1153
50808,Municipality ,Province 5,Rupandehi,Tilottama Municipality,116419,2562,2480,1810,4290,3050,9423,8183,6943,24613,36949,28007,3021
50809,Rural Municipality,Province 5,Rupandehi,Om Satiya Rural Municipality,39466,869,841,855,1696,1276,4106,3686,3265,8540,11213,8499,1025
50810,Rural Municipality,Province 5,Rupandehi,Rohini Rural Municipality,42701,940,909,1089,1998,1544,5041,4587,4132,9465,11002,8340,1108
50811,Municipality ,Province 5,Rupandehi,Siddharthanagar Municipality,75183,1655,1601,1274,2875,2075,6412,5612,4811,14725,22062,16723,1952
50812,Rural Municipality,Province 5,Rupandehi,Mayadevi Rural Municipality,54070,1190,1152,1468,2620,2044,6734,6158,5582,11836,13704,10388,1403
50813,Municipality ,Province 5,Rupandehi,Lumbini Sanskritik Municipality,83073,1828,1769,2617,4386,3502,11566,10682,9797,17942,20457,15506,2156
50814,Rural Municipality,Province 5,Rupandehi,Kotahimai Rural Municipality,47072,1036,1003,1264,2267,1766,5832,5331,4829,9877,11364,8614,1222
50815,Rural Municipality,Province 5,Rupandehi,Sammarimai Rural Municipality,44020,969,938,1303,2241,1772,5844,5375,4906,9189,10611,8043,1143
50816,Rural Municipality,Province 5,Rupandehi,Marchawari Rural Municipality,44528,980,948,1121,2069,1595,5335,4861,4387,9329,10653,8075,1156
50901,Municipality ,Province 5,Kapilbastu,Banganga Municipality,86286,1859,1799,1203,3002,2103,6338,5439,4539,19320,28663,21727,2192
50902,Municipality ,Province 5,Kapilbastu,Buddhabhumi Municipality,73739,1589,1538,1519,3057,2288,7218,6449,5680,15773,21618,16386,1874
50903,Municipality ,Province 5,Kapilbastu,Shivaraj Municipality,75062,1617,1565,1691,3256,2474,8019,7237,6454,16180,20720,15706,1907
50904,Rural Municipality,Province 5,Kapilbastu,Bijayanagar Rural Municipality,41355,891,862,977,1839,1408,4664,4233,3802,8365,10831,8210,1051
50905,Municipality ,Province 5,Kapilbastu,Krishnanagar Municipality,69939,1507,1458,1592,3050,2321,7573,6844,6115,14518,18181,13781,1777
50906,Municipality ,Province 5,Kapilbastu,Maharajganj Municipality,61410,1323,1280,1480,2760,2120,6888,6248,5608,12541,15547,11785,1560
50907,Municipality ,Province 5,Kapilbastu,Kapilbastu Municipality,86568,1864,1805,1764,3569,2665,8485,7581,6680,18778,24288,18409,2198
50908,Rural Municipality,Province 5,Kapilbastu,Yasodhara Rural Municipality,43676,941,911,1027,1938,1483,4860,4405,3949,8892,11530,8740,1110
50909,Rural Municipality,Province 5,Kapilbastu,Mayadevi Rural Municipality,54099,1166,1128,1316,2444,1880,6146,5582,5018,11761,14732,11167,1375
50910,Rural Municipality,Province 5,Kapilbastu,Shuddhodhan Rural Municipality,50341,1085,1050,1277,2327,1802,5904,5379,4854,10653,13468,10209,1279
51001,Rural Municipality,Province 5,Dang,Bangalachuli Rural Municipality,26840,616,596,956,1552,1254,4110,3812,3514,5499,7373,5589,726
51002,Sub-Metropolitan City,Province 5,Dang,Ghorahi Sub-Metropolitan City,179268,4117,3984,3593,7577,5583,17576,15582,13592,38149,54596,41382,4856
51003,Sub-Metropolitan City,Province 5,Dang,Tulsipur Sub-Metropolitan City,161256,3702,3582,3147,6729,4938,15620,13829,12038,33981,49006,37147,4366
51004,Rural Municipality,Province 5,Dang,Shantinagar Rural Municipality,28420,652,631,636,1267,952,3051,2736,2420,5933,8414,6378,769
51005,Rural Municipality,Province 5,Dang,Babai Rural Municipality,30602,702,680,695,1375,1035,3420,3080,2740,6685,9162,6945,828
51006,Rural Municipality,Province 5,Dang,Dangisharan Rural Municipality,24187,555,537,477,1014,746,2317,2049,1780,5247,7302,5535,654
51007,Municipality ,Province 5,Dang,Lamahi Municipality,54213,1244,1204,1007,2211,1609,5125,4523,3921,11572,16254,12321,1467
51008,Rural Municipality,Province 5,Dang,Rapti Rural Municipality,46193,1060,1026,890,1916,1403,4514,4001,3488,9634,13521,10249,1250
51009,Rural Municipality,Province 5,Dang,Gadhawa Rural Municipality,43616,1001,969,956,1925,1441,4487,4003,3518,9371,12346,9358,1180
51010,Rural Municipality,Province 5,Dang,Rajpur Rural Municipality,27976,642,621,762,1383,1073,3551,3241,2930,6052,7434,5635,757
51101,Rural Municipality,Province 5,Banke,Rapti Sonari Rural Municipality,70891,1538,1488,1488,2976,2232,7165,6421,5677,16344,20171,15290,1814
51102,Municipality ,Province 5,Banke,Kohalpur Municipality,84999,1844,1784,1666,3450,2558,8143,7251,6359,18222,25538,19358,2175
