Code,Governance Units,Provinces,Districts,Name of Government Unit,Total population,Total expected live birth,Population under 1 year,Population 12 - 23 months,Nutrition (0-23 Month),Nutrition (6-23 months),Population under 5 years ARI/ CDD/ Nutrition,Population aged 6-59 months,Nutrition (12-59 Month),Adolescent population aged 10-19 years,Female population aged 15-49 years,Married Female population aged 15-49 years,Total expected pregnancies
20809,Municipality ,Province 2,Parsa,Pokhariya Municipality,39971,813,787,1029,1816,1423,4671,4278,3884,7888,9961,7550,959
20810,Rural Municipality,Province 2,Parsa,Kalikamai Rural Municipality,23930,487,471,572,1043,808,2702,2467,2231,4719,5827,4417,574
20811,Rural Municipality,Province 2,Parsa,Dhobini Rural Municipality,22551,459,444,618,1062,840,2683,2461,2239,4379,5545,4203,541
20812,Rural Municipality,Province 2,Parsa,Chhipaharmai Rural Municipality,30147,613,593,766,1359,1063,3505,3209,2912,5991,7550,5723,723
20813,Rural Municipality,Province 2,Parsa,Pakaha Mainpur Rural Municipality,23504,478,463,530,993,762,2560,2329,2097,4608,5609,4252,564
20814,Rural Municipality,Province 2,Parsa,Bindabasini Rural Municipality,27655,562,544,704,1248,976,3217,2945,2673,5576,6814,5165,663
30101,Rural Municipality,Province 3,Dolakha,Gaurishankar Rural Municipality,17241,400,388,417,805,611,1939,1745,1551,3555,4825,3657,472
30102,Rural Municipality,Province 3,Dolakha,Bigu Rural Municipality,18576,431,418,416,834,625,2051,1842,1633,3881,5066,3840,508
30103,Rural Municipality,Province 3,Dolakha,Kalinchowk Rural Municipality,23085,536,519,553,1072,813,2608,2349,2089,4955,6584,4991,632
30104,Rural Municipality,Province 3,Dolakha,Baitedhar Rural Municipality,19926,463,448,373,821,597,1903,1679,1455,4121,6247,4735,546
30105,Municipality ,Province 3,Dolakha,Jiri Municipality,15940,370,358,292,650,471,1534,1355,1176,3602,5018,3804,436
30106,Rural Municipality,Province 3,Dolakha,Tamakoshi Rural Municipality,18860,438,424,385,809,597,1928,1716,1504,4152,5702,4322,517
30107,Rural Municipality,Province 3,Dolakha,Melung Rural Municipality,20061,466,451,435,886,661,2083,1858,1632,4457,6149,4661,550
30108,Rural Municipality,Province 3,Dolakha,Shailung Rural Municipality,19550,454,440,456,896,676,2094,1874,1654,4255,6090,4616,535
30109,Municipality ,Province 3,Dolakha,Bhimeshwor Municipality,34167,795,767,606,1373,989,3041,2657,2274,6769,10796,8184,937
30201,Rural Municipality,Province 3,Sindhupalchok,Bhotekoshi Rural Municipality,17511,392,379,361,740,551,1776,1587,1397,3230,4914,3725,462
30202,Rural Municipality,Province 3,Sindhupalchok,Jugal Rural Municipality,19398,434,420,468,888,678,2313,2103,1893,4140,4918,3728,512
30203,Rural Municipality,Province 3,Sindhupalchok,Panchpokhari Thangpal Rural Municipality,21248,476,460,448,908,678,2232,2002,1772,4276,5406,4098,561
30204,Rural Municipality,Province 3,Sindhupalchok,Helambu Rural Municipality,18122,406,393,370,763,567,1785,1589,1392,3767,4874,3694,479
30205,Municipality ,Province 3,Sindhupalchok,Melanchi Municipality,46619,1044,1010,976,1986,1481,4803,4298,3793,9880,13795,10457,1231
30206,Rural Municipality,Province 3,Sindhupalchok,Indrawoti Rural Municipality,29000,649,628,729,1357,1043,3280,2966,2652,6401,8643,6551,765
30207,Municipality ,Province 3,Sindhupalchok,Choutara Sangachowkgadhi Municipality,48097,1077,1045,1073,2118,1594,5036,4512,3991,10477,14927,11315,1271
