"","Code","Governance.Units.x","Provinces.x","Districts.x","Name.of.Government.Unit.x","Children.Immunized.BCG.Doses","Children.Immunized.DPT.HepB.Hib.1st","Children.Immunized.DPT.HepB.Hib.3rd","Children.Immunized.OPV.3rd","Children.Immunized.PCV.3rd","Children.Immunized.Measles.Rubella.12.23.Months","Children.Immunized.JE","Pregnant.women.Immunized.TD.Pregnant.Women..2","Pregnant.women.Immunized.TD.Pregnant.Women..2.","Fully.Immunized.Children","Health.Facilities.within.Catchment.Area.Immunization.Sessions.Planned","Health.Facilities.within.Catchment.Area.Immunization.Sessions.Planned.months","Health.Facilities.within.Catchment.Area.Immunization.Sessions.Conducted","Safe.Motherhood.Program..Birth.Weight.Low.and.Very.low....2.5.kg.","Registered.for.GM.New.Visit.0.11.Months...Normal","Registered.for.GM.New.Visit.0.11.Months...Moderate","Registered.for.GM.New.Visit.0.11.Months...Severe","Registered.for.GM.New.Visit.12.23.Months...Normal","Registered.for.GM.New.Visit.12.23.Months...Moderate","Registered.for.GM.New.Visit.12.23.Months...Severe","X..5yr.Children.Receiving.Vitamin.A.6.59.Months..sharwan.Poush.2074.","Nutrition...5yr.Children.Receiving.Deworming.Tab..Sharwan.poush.2074.","CBIMCI..2.59Months..Classification.Diarrhoea.No.Dehydration","CBIMCI..2.59Months..Classification.Diarrhoea.Some.Dehydration","CBIMCI..2.59Months..Classification.Diarrhoea.Severe.Dehydration","FCHV.Program.CBIMCI..2.59.Months.Total.Diarrhoea.Cases","CBIMCI..2.59Months..Treatment.ORS...Zinc","FCHV.Program.CBIMCI..2.59.Months.Treated.with.ORS...Zinc","Total.Diarrhoea.cases","Total.diarrhoea.treated.with.ORS.and.zinc","CBIMCI..2.59Months..Classification.ARI.No.Pneumonia","CBIMCI..2.59Months..Classification.ARI.Pneumonia","CBIMCI..2.59Months..Classification.ARI.Severe.Pneu.Very.Severe.Disease","FCHV.Program.CBIMCI..2.59.Months.Total.cases.ARI","Total.ARI.cases","Total.Pneumonia.cases..at.HF...Outreach.","CBIMCI..2.59Months..Treatment.Amoxicillin","CBIMCI..2.59Months..Treatment.Cotrim.Paediatrics","CBIMCI..2.59Months..Treatment.Other.Antibiotics.Facility","Safe.Motherhood.Program.Antenatal.Checkup.First.ANC.Visit..any.time...20.Years","Safe.Motherhood.Program.Antenatal.Checkup.First.ANC.Visit..any.time...20.Years.1","Safe.Motherhood.Program.Antenatal.Checkup.Four.ANC.Visits.as.per.Protocol..20.Years","Safe.Motherhood.Program.Antenatal.Checkup.Four.ANC.Visits.as.per.Protocol..20.Years.1","Nutrition.Pregnant.Women.Receiving.180.Iron.Tablets","Safe.Motherhood.Program.Delivery.Service.Non.SBA.Health.Workers.Facility","Safe.Motherhood.Program.Delivery.Service.Non.SBA.Health.Workers.Home","Safe.Motherhood.Program.Delivery.Service.Skilled.Birth.Attendants..SBA.Facility","Safe.Motherhood.Program.Delivery.Service.Skilled.Birth.Attendants..SBA.Home","Safe.Motherhood.Program.3.PNC.Visits.as.per.Protocol","FCHV.Program.Maternal.Death.Antepartum","FCHV.Program.Maternal.Death.Intrapartum","FCHV.Program.Maternal.Death.Postpartum","Safe.Motherhood.Program.Maternal.Death.Antepartum","Safe.Motherhood.Program.Maternal.Death.Intrapartum","Safe.Motherhood.Program.Maternal.Death.Postpartum","Safe.Motherhood.Program.Safe.Abortion.Service.Number.of.Women...20.Years.Medical","Safe.Motherhood.Program.Safe.Abortion.Service.Number.of.Women...20.Years.Surgical","Safe.Motherhood.Program.Safe.Abortion.Service.Number.of.Women...20.Years.Medical.1","Safe.Motherhood.Program.Safe.Abortion.Service.Number.of.Women...20.Years.Surgical.1","CBIMCI..2Months.Total.Death...28.Days..Facility","CBIMCI..2Months.Total.Death...28.Days..OutReach.Clinics","FCHV.Program.Death..28.days","Safe.Motherhood.Program.Maternal.Death.Neonatal.death.at.Health.Facility","Total.number.of.neonatal.deaths","Family.Planning.Program.Temporary.FP.Method.Pills.Current.User","Family.Planning.Program.Temporary.FP.Method.Implant.Current.User","Family.Planning.Program.Temporary.FP.Method.IUCD.Current.User","Family.Planning.Program.Temporary.FP.Method.Depo.Current.User","Family.Planning.Program.Temporary.FP.Method.Condom.Pieces.Qty.150","Family.Planning.Program.Postpartum.FP.Acceptors..Within.48.Hours.of.Delivery..IUCD","Family.Planning.Program.Postpartum.FP.Acceptors..Within.48.Hours.of.Delivery..Implant","Family.Planning.Program.Postpartum.FP.Acceptors..Within.48.Hours.of.Delivery..Tubectomy","Total.FCHVs.within.Catchment.Area","FCHV.Program.SMH.FP.Meetings.Held.of.Mothers.Group","Health.Facilities.within.Catchment.Area.Outreach.Clinics.Planned.months","Health.Facilities.within.Catchment.Area.Outreach.Clinics.Conducted","HIV.Tested.in.HTC.Program","HIV.found.Positive.in.HTC.Program","Outpatient.Morbidity.Communicable.Vector.Borne.Filariasis.Cases","Outpatient.Morbidity.Trachoma.Cases","No..of.new.TB.cases.registered","TB.PBC..new..registered.cases","TB.PBC..new..treatment.completed....cured.and.completed..cases","Malaria..Total.number.of.positive.cases","Number.of..P..Falciparum..PF..cases","Malaria..Diagnosis...Result.Examined","Malaria..Blood.Slide.Collection","Leprosy.Total.Additions.New.Cases.Never.Registered.earlier.Multi.Bacillary","Leprosy.Total.Additions.New.Cases.Never.registered.earlier.Pauci.Bacillary","Leprosy.Patient..from.OPD.","Total.New.OPD.Visits.Female","Total.New.OPD.Visits.Male","fid","Provinces.y","Districts.y","Governance.Units.y","Name.of.Government.Unit.y"
"109",11209,"Municipality ","Province 1","Morang","Ratuwamai Municipality",1639,1368,1307,1307,1213,971,1083,605,531,1015,302,25,293,12,1213,33,8,464,23,2,6841,6248,479,40,0,1410,571,1329,1929,"1900",1521,277,2,2752,4552,279,71,181,359,250,1303,57,409,633,0,0,67,0,67,0,0,0,0,0,0,6,0,33,3,0,0,1,3,4,219,239,5,611,134,0,2,0,43,507,"23",272,0,0,0,0,26,13,9,0,0,546,546,4,5,7,16568,14421,56,"Koshi Province","Morang","Municipality ","Ratuwamai Municipality"
"110",11210,"Municipality ","Province 1","Morang","Sunwarshi Municipality",1178,1097,981,981,949,601,778,406,535,650,229,19,220,0,730,25,5,256,9,3,4694,4191,440,132,0,1550,521,1138,2122,"1659",1046,156,2,2646,3850,158,314,256,318,132,776,59,382,409,0,0,8,2,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,239,70,0,492,52,0,0,0,36,414,"15",168,0,0,0,0,44,20,17,0,0,0,0,6,5,5,10834,11706,58,"Koshi Province","Morang","Municipality ","Sunwarshi Municipality"
"111",11211,"Municipality ","Province 1","Morang","Rangeli Municipality",1217,1256,1080,984,1033,754,875,670,479,734,230,19,220,18,899,9,8,334,2,13,5019,4372,272,104,0,1008,892,1039,1384,"1931",1019,322,1,2092,3434,323,814,1256,783,568,1079,114,329,353,0,0,147,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,242,0,0,401,88,0,0,0,91,333,"16",185,0,0,0,1,32,19,12,0,0,18,19,3,4,2,21164,17840,55,"Koshi Province","Morang","Municipality ","Rangeli Municipality"
"112",11212,"Rural Municipality","Province 1","Morang","Gramthan Rural Municipality",524,578,563,564,473,404,438,372,340,485,273,23,235,3,583,8,5,240,10,3,2253,2014,132,24,0,795,140,794,951,"934",348,190,0,1283,1821,190,126,81,132,61,358,32,370,394,0,0,54,0,49,0,0,0,0,0,0,4,0,64,0,0,0,1,0,1,344,284,35,839,199,0,0,0,54,646,"20",231,0,0,0,0,17,1,9,0,0,108,108,2,1,2,8561,5990,47,"Koshi Province","Morang","Rural Municipality","Gramthan Rural Municipality"
"113",11213,"Rural Municipality","Province 1","Morang","Budhiganga Rural Municipality",792,914,875,875,822,631,691,375,353,758,161,13,161,0,686,7,6,419,6,2,3969,3450,125,41,0,1015,185,1003,1181,"1188",542,142,0,1354,2038,142,152,124,135,99,467,59,264,318,0,0,3,0,5,0,0,0,0,0,0,1,0,42,0,0,0,0,0,0,175,167,54,197,157,0,0,0,37,429,"11",119,0,0,0,0,26,10,10,0,0,25,25,3,3,3,5130,3535,45,"Koshi Province","Morang","Rural Municipality","Budhiganga Rural Municipality"
"114",11214,"Metropolitan City","Province 1","Morang","Biratnagar Metropolitan City",7410,4896,4766,4851,5087,3303,3942,2897,1057,1028,501,42,484,3898,929,19,6,656,132,14,6911,6161,271,17,0,2308,416,2165,2596,"2581",629,48,0,2496,3173,48,13,47,57,5844,18702,1814,3174,328,8,0,19290,0,4831,0,0,0,0,3,11,81,45,665,856,0,0,0,135,135,1527,7366,2546,6473,296,559,0,3,132,884,"7",77,5079,45,7,82,288,101,93,3,2,2247,2247,5,2,28,371263,284236,44,"Koshi Province","Morang","Metropolitan City","Biratnagar Metropolitan City"
"115",11215,"Rural Municipality","Province 1","Morang","Katahari Rural Municipality",812,771,785,792,736,474,623,291,495,619,144,12,145,0,496,14,4,137,10,3,1686,1476,173,52,0,896,219,872,1121,"1091",781,342,2,1791,2916,344,119,259,19,111,636,49,354,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,202,114,0,0,0,27,324,"13",156,0,0,0,0,28,12,12,0,0,132,132,1,2,2,6862,5098,50,"Koshi Province","Morang","Rural Municipality","Katahari Rural Municipality"
"116",11216,"Rural Municipality","Province 1","Morang","Dhanapalthan Rural Municipality",922,938,900,884,802,663,672,395,459,778,316,26,304,13,1013,5,32,271,2,76,4919,4488,599,38,0,1983,591,1849,2620,"2440",1299,231,0,3212,4742,231,133,118,106,234,1116,95,548,644,0,0,78,0,81,0,0,0,0,0,0,2,0,49,0,0,0,1,0,1,138,41,12,451,176,0,0,0,45,540,"24",275,0,0,0,0,18,3,4,0,0,32,29,3,5,5,13639,9683,46,"Koshi Province","Morang","Rural Municipality","Dhanapalthan Rural Municipality"
"117",11217,"Rural Municipality","Province 1","Morang","Jahada Rural Municipality",1016,1046,1001,1001,927,737,819,430,491,928,275,23,260,1,960,2,0,631,0,0,3867,3464,582,109,0,1375,868,1358,2066,"2226",1098,204,0,1339,2641,204,472,414,61,229,939,114,503,554,0,0,18,0,18,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,165,0,8,305,141,0,0,0,42,484,"17",185,0,0,0,0,40,29,28,0,0,128,128,6,8,4,14265,11001,48,"Koshi Province","Morang","Rural Municipality","Jahada Rural Municipality"
"118",11301,"Sub-Metropolitan City","Province 1","Sunsari","Dharan Sub-Metropolitan City",2938,1987,1758,1758,1657,1278,1681,1196,932,1165,187,16,165,0,545,0,0,355,0,0,11187,10100,239,48,0,1054,278,849,1341,"1127",360,57,0,1058,1475,57,74,19,72,114,3697,28,3845,231,0,0,1841,2,70,0,0,0,0,0,0,23,0,242,0,0,0,0,0,0,622,294,64,1459,322,0,0,134,122,1572,"16",164,0,0,0,0,225,111,99,0,0,0,0,12,5,0,5243,3708,64,"Koshi Province","Sunsari","Sub-Metropolitan City","Dharan Sub-Metropolitan City"
"119",11302,"Municipality ","Province 1","Sunsari","Baraha Municipality",1465,1554,1503,1503,1570,1238,1382,621,473,2083,166,14,166,13,888,9,0,680,9,0,4976,4569,297,79,1,2375,308,1149,2752,"1457",656,232,0,2461,3349,232,269,111,188,206,828,126,584,721,0,0,242,0,183,0,0,0,0,0,0,10,0,169,0,0,0,0,0,0,595,912,242,1363,290,0,0,0,150,1015,"14",136,5,0,0,0,106,42,39,1,0,47,47,1,3,0,24143,18555,60,"Koshi Province","Sunsari","Municipality ","Baraha Municipality"
"120",11303,"Rural Municipality","Province 1","Sunsari","Koshi Rural Municipality",1069,1035,844,844,834,473,656,278,686,730,60,5,56,0,790,88,15,398,97,18,2723,2446,688,222,1,3124,474,1532,4035,"2006",1022,357,0,3222,4601,357,230,416,76,168,814,97,546,684,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,241,0,697,309,0,0,0,78,764,"9",102,0,0,0,10,33,20,23,1,0,6,6,5,0,2,13645,11487,70,"Koshi Province","Sunsari","Rural Municipality","Koshi Rural Municipality"
"121",11304,"Rural Municipality","Province 1","Sunsari","Bhokraha Rural Municipality",1198,1061,969,969,888,480,594,461,650,1074,72,6,30,1,387,1,0,335,6,0,8606,7362,514,446,0,692,564,662,1652,"1226",885,484,0,848,2217,484,143,671,23,183,1145,76,727,720,0,22,99,0,115,0,0,0,0,0,0,14,0,49,0,0,0,0,0,0,221,163,0,257,48,0,0,0,64,763,"6",76,0,0,0,21,37,20,19,0,0,0,0,0,0,0,13319,8995,62,"Koshi Province","Sunsari","Rural Municipality","Bhokraha Narsingh Rural Municipality"
"122",11305,"Municipality ","Province 1","Sunsari","Ramdhuni Municipality",1024,1045,965,965,985,776,964,428,262,857,128,11,117,0,1000,4,0,331,0,0,5361,4734,270,100,0,1836,270,1207,2206,"1477",1128,345,19,2145,3637,364,281,182,122,149,852,113,961,1012,0,0,0,0,10,0,0,0,0,0,0,10,0,94,0,0,0,0,0,0,223,450,145,556,197,0,0,0,102,1131,"12",143,0,0,0,0,50,37,35,0,0,78,78,3,0,4,15009,11281,71,"Koshi Province","Sunsari","Municipality ","Ramdhuni Municipality"
"123",11306,"Sub-Metropolitan City","Province 1","Sunsari","Itahari Sub-Metropolitan City",2852,2930,2663,2647,2917,2288,2773,1207,266,2336,331,28,349,49,1755,14,5,1153,11,2,16602,14901,352,49,0,3307,372,2597,3708,"2969",847,305,2,2262,3416,307,261,206,241,304,1781,111,606,1141,0,0,530,0,44,0,0,0,0,0,0,54,25,915,799,0,0,41,0,41,952,2176,6781,1557,756,0,0,0,148,1258,"15",167,1748,10,0,1,170,100,80,1,0,77,77,7,7,5,20967,14328,69,"Koshi Province","Sunsari","Sub-Metropolitan City","Itahari Sub-Metropolitan City"
"124",11307,"Municipality ","Province 1","Sunsari","Duhabi Municipality",888,919,790,789,782,588,787,383,437,931,200,17,198,7,913,91,31,433,43,21,4663,4352,455,238,8,4063,622,1953,4764,"2575",1156,242,16,2443,3857,258,214,142,108,250,820,91,533,548,0,0,249,0,102,0,0,0,0,0,0,6,0,192,0,0,0,0,0,0,423,651,2,576,191,0,0,0,95,906,"16",189,0,0,18,0,43,5,4,2,1,8,8,2,3,3,14821,9615,65,"Koshi Province","Sunsari","Municipality ","Duhabi Municipality"
"125",11308,"Rural Municipality","Province 1","Sunsari","Gadhi Rural Municipality",798,833,787,763,714,510,659,520,414,321,150,13,150,0,649,50,26,302,12,2,1037,894,268,102,1,1737,360,1663,2108,"2023",1060,239,0,1391,2690,239,482,193,163,110,476,44,293,302,0,0,0,0,0,0,0,0,0,0,0,1,0,32,0,0,0,0,0,0,410,295,9,604,92,0,0,0,75,760,"12",135,0,0,0,0,19,5,4,0,0,3,3,1,0,1,14043,10596,66,"Koshi Province","Sunsari","Rural Municipality","Gadhi Rural Municipality"
"126",11309,"Municipality ","Province 1","Sunsari","Inaruwa Municipality",1879,1783,1605,1599,1596,1091,1485,638,817,1469,335,28,307,169,2101,18,2,988,31,3,4887,4316,535,159,1,1697,613,1189,2392,"1802",1470,248,2,2179,3899,250,290,307,192,231,1025,92,689,722,0,0,1511,1,72,0,0,0,0,0,0,7,4,112,5,0,0,0,1,1,323,291,200,875,269,0,0,0,100,926,"18",204,30,13,0,42,40,16,11,1,0,61,61,2,1,9,27568,19982,68,"Koshi Province","Sunsari","Municipality ","Inaruwa Municipality"
"127",11310,"Rural Municipality","Province 1","Sunsari","Harinagara Rural Municipality",1407,1378,1338,1337,1340,960,1060,473,918,845,112,9,107,16,1270,19,0,536,56,0,4513,4053,583,407,0,2383,1212,1620,3373,"2832",1045,502,12,2250,3809,514,701,435,455,434,1010,145,538,766,3,17,236,2,29,0,0,0,0,0,0,16,0,31,0,0,0,0,0,0,175,377,4,377,147,0,0,0,90,953,"15",176,0,0,2,17,19,14,9,0,0,17,17,0,0,0,24097,18554,67,"Koshi Province","Sunsari","Rural Municipality","Harinagara Rural Municipality"
"128",11311,"Rural Municipality","Province 1","Sunsari","Dewangunj Rural Municipality",796,767,803,803,689,527,652,287,475,443,177,15,162,0,792,18,9,584,21,14,2417,2159,673,95,5,2539,813,2061,3312,"2874",961,492,0,1783,3236,492,410,538,206,173,710,28,251,253,8,55,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,271,46,210,190,0,0,0,79,741,"16",187,0,0,5,43,15,4,4,0,0,0,0,3,1,0,17723,14406,63,"Koshi Province","Sunsari","Rural Municipality","Dewangunj Rural Municipality"
"129",11312,"Rural Municipality","Province 1","Sunsari","Barju Rural Municipality",706,789,801,778,712,582,677,317,355,755,178,15,178,4,948,42,7,368,35,3,3431,3322,457,287,0,1987,667,1938,2731,"2605",2012,692,3,1549,4256,695,457,174,258,123,673,14,371,362,0,0,156,0,62,0,0,0,0,0,0,4,0,118,0,0,0,0,0,0,179,583,7,681,145,0,0,0,64,725,"15",154,0,0,0,1,15,7,3,0,0,66,66,4,1,5,20502,15764,61,"Koshi Province","Sunsari","Rural Municipality","Barju Rural Municipality"
"130",11401,"Municipality ","Province 1","Udayapur","Belaka Municipality",809,825,804,810,796,714,771,525,60,1122,229,19,211,22,680,25,0,504,27,5,4461,3970,373,144,0,361,520,373,878,"893",555,320,4,654,1533,324,330,269,214,254,675,100,299,424,74,50,224,0,42,0,0,0,0,0,0,0,0,28,0,0,0,0,1,1,210,333,4,398,95,0,0,0,35,320,"17",194,0,0,0,3,30,12,12,0,0,106,106,1,0,1,9962,7193,131,"Koshi Province","Udayapur","Municipality ","Belaka Municipality"
"131",11402,"Municipality ","Province 1","Udayapur","Chaudandigadhi Municipality",908,937,926,926,902,721,841,707,114,913,296,25,287,12,936,32,9,326,22,9,3540,3099,363,96,0,1110,361,927,1569,"1288",1097,160,16,2266,3539,176,179,68,200,183,816,77,463,496,0,0,282,0,89,0,0,0,0,0,0,3,1,41,12,0,0,0,0,0,198,762,97,286,338,0,0,0,52,586,"21",224,0,0,0,8,55,17,14,0,0,301,301,6,1,2,20556,13293,132,"Koshi Province","Udayapur","Municipality ","Chaudandigadhi Municipality"
"132",11403,"Municipality ","Province 1","Udayapur","Triyuga Municipality",2220,1889,1754,1770,1937,1540,1676,1447,335,6006,539,45,392,39,2677,19,4,338,7,0,2985,2657,527,142,3,1928,547,1970,2600,"2517",1215,531,5,1744,3495,536,536,230,365,394,1742,205,1190,1246,0,3,1624,0,1425,2,2,0,0,0,0,2,19,19,106,0,0,1,0,1,409,902,1870,846,270,0,0,0,74,798,"22",235,341,2,0,13,70,32,24,1,0,820,818,4,3,6,38765,28891,137,"Koshi Province","Udayapur","Municipality ","Triyuga Municipality"
"133",11404,"Rural Municipality","Province 1","Udayapur","Rautamai Rural Municipality",463,488,473,481,440,372,386,278,167,413,328,27,324,1,639,30,5,373,12,1,1942,1729,325,176,3,980,470,839,1484,"1309",635,384,4,1196,2219,388,195,255,309,155,287,67,111,163,79,0,37,0,53,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,125,448,92,207,110,0,1,0,53,443,"21",244,0,0,0,2,21,9,10,0,0,20,20,1,0,1,9211,6931,134,"Koshi Province","Udayapur","Rural Municipality","Rautamai Rural Municipality"
"134",11405,"Rural Municipality","Province 1","Udayapur","Sunkoshi Rural Municipality",209,217,213,213,202,134,181,102,38,213,212,18,199,4,242,6,1,200,6,1,1047,892,815,51,1,432,437,416,1299,"853",597,112,37,464,1210,149,49,68,145,53,167,17,111,154,58,4,71,2,88,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,79,292,17,160,52,0,0,0,44,524,"15",164,0,0,0,0,4,1,0,0,0,77,77,0,0,0,7987,6517,135,"Koshi Province","Udayapur","Rural Municipality","Sunkoshi Rural Municipality"
"135",11406,"Rural Municipality","Province 1","Udayapur","Tapli Rural Municipality",271,271,255,255,242,217,263,105,48,320,177,15,161,0,333,5,0,219,5,0,1468,1343,177,38,0,866,191,732,1081,"923",346,174,7,1443,1970,181,99,107,109,69,189,10,82,80,12,13,28,15,36,0,0,0,0,0,0,0,0,0,0,0,0,73,0,73,77,262,6,135,58,0,0,0,44,435,"15",162,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4536,3254,136,"Koshi Province","Udayapur","Rural Municipality","Tapli Rural Municipality"
"136",11407,"Municipality ","Province 1","Udayapur","Katari Municipality",1214,1245,1183,1184,1194,988,983,1213,378,4674,340,28,294,45,1304,13,3,505,5,1,5006,4322,1037,427,32,1605,1281,1395,3101,"2676",1401,704,42,2149,4296,746,585,382,369,353,876,147,346,557,4,13,554,4,95,0,0,0,0,0,0,1,0,1,1,0,0,4,1,5,563,650,53,1043,319,0,0,0,77,920,"25",274,0,0,2,10,51,13,12,0,0,8,8,3,4,3,26875,20788,133,"Koshi Province","Udayapur","Municipality ","Katari Municipality"
"137",11408,"Rural Municipality","Province 1","Udayapur","Udayapurgadhi Rural Municipality",497,493,468,468,438,359,413,312,6,533,251,21,216,5,489,6,2,65,2,1,2136,1785,301,43,0,421,349,454,765,"803",539,230,2,658,1429,232,199,91,49,160,390,81,141,177,4,0,83,4,29,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,224,615,13,426,123,0,0,0,42,469,"19",183,0,0,0,8,12,0,0,0,0,11,11,0,0,0,6522,4521,138,"Koshi Province","Udayapur","Rural Municipality","Udayapurgadhi Rural Municipality"
"138",20101,"Municipality ","Province 2","Saptari","Saptakoshi Municipality",436,461,430,448,407,279,387,369,49,400,144,12,102,18,588,6,21,437,6,47,2380,2100,244,81,0,618,384,482,943,"866",532,66,0,891,1489,66,116,25,149,68,267,92,405,649,0,0,166,0,141,0,0,0,0,0,0,1,0,39,0,0,0,0,0,0,193,2,0,357,185,0,0,0,27,315,"11",108,0,0,0,29,21,8,1,5,0,43,43,3,10,14,6820,5598,153,"Madhesh Province","Saptari","Municipality ","Saptakoshi Municipality"
"139",20102,"Municipality ","Province 2","Saptari","Kanchanrup Municipality",1243,1339,1174,1174,1187,1021,1121,784,587,1132,480,40,349,47,1187,51,1,911,157,3,5217,4632,889,117,0,1322,1274,1217,2328,"2491",1247,150,1,1924,3322,151,350,105,233,153,1360,106,857,910,3,0,792,1,604,0,0,0,0,0,0,58,0,181,0,0,0,0,0,0,860,361,402,1405,453,0,0,0,90,1079,"25",283,0,0,0,0,26,1,1,0,0,430,430,3,4,7,19217,13354,148,"Madhesh Province","Saptari","Municipality ","Kanchanrup Municipality"
"140",20103,"Rural Municipality","Province 2","Saptari","Agnisair Krishna Sabaran Rural Municipality",591,599,509,535,552,489,492,244,292,691,240,20,187,8,421,4,0,368,21,0,1365,1183,222,144,0,1100,326,993,1466,"1319",456,80,1,1586,2123,81,82,85,28,63,829,12,585,585,0,0,392,0,160,0,0,0,0,0,0,1,0,101,0,0,0,0,0,0,255,325,517,440,65,0,0,0,45,538,"20",221,0,0,0,0,18,4,2,0,0,2,2,2,5,4,7125,5451,140,"Madhesh Province","Saptari","Rural Municipality","Agnisair Krishna Sabaran Rural Municipality"
"141",20104,"Rural Municipality","Province 2","Saptari","Rupani Rural Municipality",750,688,652,661,675,470,550,395,405,466,240,20,230,0,1094,20,1,559,29,5,2695,2420,645,243,0,1382,817,962,2270,"1779",841,117,0,1156,2114,117,141,99,103,98,519,46,349,384,0,0,0,14,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,328,71,0,0,0,45,519,"20",232,0,0,0,0,14,6,4,0,0,14,14,1,1,1,10757,9006,152,"Madhesh Province","Saptari","Rural Municipality","Rupani Rural Municipality"
"142",20105,"Municipality ","Province 2","Saptari","Shambhunath Municipality",758,748,706,742,976,575,574,290,457,676,336,28,318,22,521,13,0,456,33,30,3771,3341,387,32,0,908,475,832,1327,"1307",606,10,0,903,1519,10,53,44,74,59,689,19,610,628,0,0,284,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592,0,0,771,184,0,0,0,63,689,"26",281,0,0,0,0,8,3,4,0,0,0,0,1,0,2,6755,5649,154,"Madhesh Province","Saptari","Municipality ","Shambhunath Municipality"
"143",20106,"Municipality ","Province 2","Saptari","Khadak Municipality",1144,1104,1040,1068,1013,853,967,904,352,1002,384,32,380,21,920,1,6,711,21,25,2159,1385,894,201,2,999,1067,1067,2096,"2134",1127,56,0,814,1997,56,110,258,146,227,1087,95,662,751,1,1,545,15,392,0,0,0,0,0,0,3,0,28,5,0,0,0,0,0,558,22,243,1411,284,0,0,0,72,864,"30",352,0,0,0,0,40,9,8,0,0,113,113,2,4,3,16128,11917,149,"Madhesh Province","Saptari","Municipality ","Khadak Municipality"
"144",20107,"Municipality ","Province 2","Saptari","Surunga Municipality",975,924,894,848,920,616,759,734,144,959,428,36,340,10,753,1,0,775,15,0,1287,1102,566,228,0,1105,1043,1030,1899,"2073",1386,28,0,1344,2758,28,242,70,156,160,810,63,524,594,0,0,62,0,145,0,0,0,0,0,0,1,0,17,0,0,0,0,1,1,344,40,63,1257,215,0,0,0,81,981,"31",334,0,0,0,1,42,8,4,0,0,31,31,3,10,17,13107,8717,155,"Madhesh Province","Saptari","Municipality ","Surunga Municipality"
"145",20108,"Rural Municipality","Province 2","Saptari","Balan-Bihul Rural Municipality",470,441,441,437,432,353,363,340,183,360,240,20,232,0,361,0,0,359,0,0,3351,3138,480,131,10,602,579,589,1223,"1168",623,127,0,559,1309,127,185,246,262,90,463,20,359,384,4,28,150,16,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,202,91,0,0,0,45,512,"19",199,0,0,0,1,6,0,0,0,0,3,3,1,0,1,8739,7741,141,"Madhesh Province","Saptari","Rural Municipality","Balan-Bihul Rural Municipality"
"146",20109,"Municipality ","Province 2","Saptari","BodeBarsain Municipality",946,910,841,870,872,706,787,609,374,797,432,36,266,11,960,8,0,794,12,0,3272,2875,848,137,26,1350,2265,1994,2361,"4259",1197,201,0,1324,2722,201,217,108,64,252,1140,84,671,827,13,14,384,56,269,0,0,0,0,0,0,2,0,73,0,0,0,0,0,0,537,40,158,936,238,0,0,0,81,946,"36",370,0,0,0,6,25,4,4,0,0,77,77,1,1,2,18521,16698,144,"Madhesh Province","Saptari","Municipality ","BodeBarsain Municipality"
"147",20110,"Municipality ","Province 2","Saptari","Dakneshwori Municipality",998,984,932,869,826,769,728,384,571,787,433,36,346,26,1190,36,5,756,33,11,1918,1721,900,175,0,1291,1097,974,2366,"2071",1375,111,0,1048,2534,111,315,61,83,163,847,65,532,716,60,11,455,0,408,0,0,0,0,0,0,11,0,74,0,0,0,0,1,1,613,79,53,634,237,0,0,0,81,910,"38",398,0,0,0,0,24,8,5,1,0,7,7,2,9,15,17456,14558,146,"Madhesh Province","Saptari","Municipality ","Dakneshwori Municipality"
"148",20111,"Rural Municipality","Province 2","Saptari","Belhi Chapena Rural Municipality",696,733,630,652,622,400,518,321,260,573,288,24,232,0,779,48,30,413,42,49,3501,2927,412,249,0,1013,566,1356,1674,"1922",584,133,0,1549,2266,133,140,112,67,85,503,36,359,388,0,62,18,18,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,13,0,198,106,0,0,0,54,633,"21",221,0,0,0,1,14,2,2,0,0,12,12,1,0,0,7311,7064,142,"Madhesh Province","Saptari","Rural Municipality","Belhi Chapena Rural Municipality"
"149",20112,"Rural Municipality","Province 2","Saptari","Bishnupur Rural Municipality",220,227,216,231,189,94,152,90,142,264,96,8,86,0,166,1,18,601,3,99,554,509,183,32,0,149,203,119,364,"322",253,48,0,168,469,48,122,68,84,46,175,4,45,45,0,9,0,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,26,17,0,33,43,0,0,0,18,175,"7",77,0,0,0,0,13,1,0,0,0,2,2,0,0,1,2920,2738,143,"Madhesh Province","Saptari","Rural Municipality","Bishnupur Rural Municipality"
