"","Code","fid","Governance.Units","Provinces","Districts","Name.of.Government.Unit","Hospital","Primary.Health.Care.Centers","Health.Post","Urban.Health.Centers","Community.Health.Unit","Other.Health.Facilities","Total","Non.public.health.facilities","Total.health.facilities..Public.and.Non.Public.","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8"
"36",11113,36,"Rural Municipality","Koshi Province","Jhapa","Haldibari Rural Municipality",0,0,3,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,""
"37",11110,37,"Rural Municipality","Koshi Province","Jhapa","Jhapa Rural Municipality",0,0,3,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,""
"38",11115,38,"Rural Municipality","Koshi Province","Jhapa","Kachanakawal Rural Municipality",0,1,5,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,""
"39",11106,39,"Rural Municipality","Koshi Province","Jhapa","Kamal Rural Municipality",0,0,2,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,""
"40",11104,40,"Municipality ","Koshi Province","Jhapa","Kankai Municipality",0,1,1,0,0,0,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,""
"41",11101,41,"Municipality ","Koshi Province","Jhapa","Mechinagar Municipality",0,1,5,2,1,0,9,2,11,NA,NA,NA,NA,NA,NA,NA,NA,""
"42",11105,42,"Municipality ","Koshi Province","Jhapa","Shivasatakshi Municipality",0,1,3,0,0,0,4,2,6,NA,NA,NA,NA,NA,NA,NA,NA,""
"43",11205,43,"Municipality ","Koshi Province","Morang","Belbari Municipality",0,1,3,1,0,0,5,2,7,NA,NA,NA,NA,NA,NA,NA,NA,""
"44",11214,44,"Metropolitan City","Koshi Province","Morang","Biratnagar Metropolitan City",1,1,1,1,0,2,6,27,33,NA,NA,NA,NA,NA,NA,NA,NA,""
"45",11213,45,"Rural Municipality","Koshi Province","Morang","Budhiganga Rural Municipality",0,0,4,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,""
"46",11216,46,"Rural Municipality","Koshi Province","Morang","Dhanapalthan Rural Municipality",0,0,6,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,""
"47",11212,47,"Rural Municipality","Koshi Province","Morang","Gramthan Rural Municipality",0,1,5,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,""
"48",11217,48,"Rural Municipality","Koshi Province","Morang","Jahada Rural Municipality",0,0,5,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"49",11206,49,"Rural Municipality","Koshi Province","Morang","Kanepokhari Rural Municipality",0,0,3,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,""
"50",11215,50,"Rural Municipality","Koshi Province","Morang","Katahari Rural Municipality",0,0,3,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,""
"51",11203,51,"Rural Municipality","Koshi Province","Morang","Kerabari Rural Municipality",0,0,4,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,""
"52",11202,52,"Municipality ","Koshi Province","Morang","Letang Municipality",0,1,3,1,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"53",11201,53,"Rural Municipality","Koshi Province","Morang","Miklajung Rural Municipality",0,0,4,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,""
"54",11207,54,"Municipality ","Koshi Province","Morang","Pathari Shanishchare Municipality",0,0,3,1,0,0,4,2,6,NA,NA,NA,NA,NA,NA,NA,NA,""
"55",11211,55,"Municipality ","Koshi Province","Morang","Rangeli Municipality",1,0,3,1,0,1,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,""
"56",11209,56,"Municipality ","Koshi Province","Morang","Ratuwamai Municipality",0,1,4,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"57",11204,57,"Municipality ","Koshi Province","Morang","Sundarharaicha Municipality",0,1,4,2,0,0,7,2,9,NA,NA,NA,NA,NA,NA,NA,NA,""
"58",11210,58,"Municipality ","Koshi Province","Morang","Sunwarshi Municipality",0,0,4,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,""
"59",11208,59,"Municipality ","Koshi Province","Morang","Urlabari Municipality",1,0,1,1,0,0,3,4,7,NA,NA,NA,NA,NA,NA,NA,NA,""
"60",11302,60,"Municipality ","Koshi Province","Sunsari","Baraha Municipality",0,2,3,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"61",11312,61,"Rural Municipality","Koshi Province","Sunsari","Barju Rural Municipality",0,0,4,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,""
"62",11304,62,"Rural Municipality","Koshi Province","Sunsari","Bhokraha Narsingh Rural Municipality",0,0,2,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,""
"63",11311,63,"Rural Municipality","Koshi Province","Sunsari","Dewangunj Rural Municipality",0,0,5,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"64",11301,64,"Sub-Metropolitan City","Koshi Province","Sunsari","Dharan Sub-Metropolitan City",1,0,3,1,1,0,6,4,10,NA,NA,NA,NA,NA,NA,NA,NA,""
"65",11307,65,"Municipality ","Koshi Province","Sunsari","Duhabi Municipality",0,0,6,1,1,0,8,1,9,NA,NA,NA,NA,NA,NA,NA,NA,""
"66",11308,66,"Rural Municipality","Koshi Province","Sunsari","Gadhi Rural Municipality",0,1,3,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,""
"67",11310,67,"Rural Municipality","Koshi Province","Sunsari","Harinagara Rural Municipality",0,1,4,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"68",11309,68,"Municipality ","Koshi Province","Sunsari","Inaruwa Municipality",1,0,5,1,0,1,8,5,13,NA,NA,NA,NA,NA,NA,NA,NA,""
"69",11306,69,"Sub-Metropolitan City","Koshi Province","Sunsari","Itahari Sub-Metropolitan City",0,1,4,5,0,0,10,8,18,NA,NA,NA,NA,NA,NA,NA,NA,""
"70",11303,70,"Rural Municipality","Koshi Province","Sunsari","Koshi Rural Municipality",0,0,4,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,""
"71",11305,71,"Municipality ","Koshi Province","Sunsari","Ramdhuni Municipality",0,0,4,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,""
"72",10707,73,"Rural Municipality","Koshi Province","Dhankuta","Chaubise Rural Municipality",0,0,7,0,3,0,10,0,10,NA,NA,NA,NA,NA,NA,NA,NA,""
"73",10703,74,"Rural Municipality","Koshi Province","Dhankuta","Chhathar Jorpati Rural Municipality",0,0,4,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,""
"74",10704,75,"Municipality ","Koshi Province","Dhankuta","Dhankuta Municipality",1,0,2,2,1,1,7,9,16,NA,NA,NA,NA,NA,NA,NA,NA,""
"75",10705,76,"Rural Municipality","Koshi Province","Dhankuta","Khalsa Chhintang Sahidbhumi Rural Municipality",0,0,4,0,2,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,""
"76",10701,77,"Municipality ","Koshi Province","Dhankuta","Mahalaxmi Municipality",0,1,5,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,""
