"","Code","fid","Governance.Units","Provinces","Districts","Name.of.Government.Unit","Hospital","Primary.Health.Care.Centers","Health.Post","Urban.Health.Centers","Community.Health.Unit","Other.Health.Facilities","Total","Non.public.health.facilities","Total.health.facilities..Public.and.Non.Public.","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8"
"146",20102,148,"Municipality ","Madhesh Province","Saptari","Kanchanrup Municipality",0,1,9,0,0,0,10,2,12,NA,NA,NA,NA,NA,NA,NA,NA,""
"147",20106,149,"Municipality ","Madhesh Province","Saptari","Khadak Municipality",0,1,7,0,0,0,8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,""
"148",20114,150,"Rural Municipality","Madhesh Province","Saptari","Mahadewa Rural Municipality",0,0,5,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"149",20113,151,"Municipality ","Madhesh Province","Saptari","Rajbiraj Municipality",1,0,8,1,0,1,11,2,13,NA,NA,NA,NA,NA,NA,NA,NA,""
"150",20104,152,"Rural Municipality","Madhesh Province","Saptari","Rupani Rural Municipality",0,0,5,0,0,0,5,1,6,NA,NA,NA,NA,NA,NA,NA,NA,""
"151",20101,153,"Municipality ","Madhesh Province","Saptari","Saptakoshi Municipality",0,0,3,0,0,0,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,""
"152",20105,154,"Municipality ","Madhesh Province","Saptari","Shambhunath Municipality",0,0,7,0,0,0,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,""
"153",20107,155,"Municipality ","Madhesh Province","Saptari","Surunga Municipality",0,1,9,0,0,0,10,0,10,NA,NA,NA,NA,NA,NA,NA,NA,""
"154",20117,156,"Rural Municipality","Madhesh Province","Saptari","Tilathi Koiladi Rural Municipality",0,1,5,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,""
"155",20115,157,"Rural Municipality","Madhesh Province","Saptari","Tirahut Rural Municipality",0,0,5,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"156",20209,159,"Rural Municipality","Madhesh Province","Siraha","Arnama Rural Municipality",0,0,4,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,""
"157",20216,160,"Rural Municipality","Madhesh Province","Siraha","Aurahi Rural Municipality",0,1,4,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"158",20215,161,"Rural Municipality","Madhesh Province","Siraha","Bariyarpatti Rural Municipality",0,0,5,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"159",20213,162,"Rural Municipality","Madhesh Province","Siraha","Bhagawanpur Rural Municipality",0,1,2,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,""
"160",20208,163,"Rural Municipality","Madhesh Province","Siraha","Bishnupur Rural Municipality",0,0,4,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,""
"161",20202,164,"Municipality ","Madhesh Province","Siraha","Dhangadhimai Municipality",0,0,6,0,0,0,6,6,12,NA,NA,NA,NA,NA,NA,NA,NA,""
"162",20203,165,"Municipality ","Madhesh Province","Siraha","Golbazar Municipality",0,0,9,0,0,0,9,6,15,NA,NA,NA,NA,NA,NA,NA,NA,""
"163",20206,166,"Municipality ","Madhesh Province","Siraha","Kalyanpur Municipality",0,0,11,0,0,0,11,0,11,NA,NA,NA,NA,NA,NA,NA,NA,""
"164",20205,167,"Municipality ","Madhesh Province","Siraha","Karjanha Municipality",0,0,4,0,0,0,4,4,8,NA,NA,NA,NA,NA,NA,NA,NA,""
"165",20201,168,"Municipality ","Madhesh Province","Siraha","Lahan Municipality",1,0,12,1,0,0,14,27,41,NA,NA,NA,NA,NA,NA,NA,NA,""
"166",20211,169,"Rural Municipality","Madhesh Province","Siraha","Laxmipur Patari Rural Municipality",0,0,6,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,""
"167",20204,170,"Municipality ","Madhesh Province","Siraha","Mirchaiya Municipality",0,1,7,0,0,0,8,11,19,NA,NA,NA,NA,NA,NA,NA,NA,""
"168",20207,171,"Rural Municipality","Madhesh Province","Siraha","Naraha Rural Municipality",0,0,4,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,""
"169",20214,172,"Rural Municipality","Madhesh Province","Siraha","Nawarajpur Rural Municipality",0,1,2,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,""
"170",20212,173,"Rural Municipality","Madhesh Province","Siraha","Sakhuwa Nankarkatti Rural Municipality",0,0,5,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"171",20217,174,"Municipality ","Madhesh Province","Siraha","Siraha Municipality",1,0,12,1,0,1,15,4,19,NA,NA,NA,NA,NA,NA,NA,NA,""
"172",20210,175,"Municipality ","Madhesh Province","Siraha","Sukhipur Municipality",0,0,7,0,0,0,7,1,8,NA,NA,NA,NA,NA,NA,NA,NA,""
"173",20314,176,"Rural Municipality","Madhesh Province","Dhunasa","Aurahi Rural Municipality",0,1,3,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,""
"174",20304,177,"Rural Municipality","Madhesh Province","Dhunasa","Bateshwor Rural Municipality",0,0,4,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,""
"175",20313,178,"Municipality ","Madhesh Province","Dhunasa","Bideha Municipality",0,0,6,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,""
"176",20305,179,"Municipality ","Madhesh Province","Dhunasa","Chhireshwornath Municipality",0,1,3,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,""
"177",20316,180,"Rural Municipality","Madhesh Province","Dhunasa","Dhanauji Rural Municipality",0,0,4,0,1,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"178",20302,181,"Municipality ","Madhesh Province","Dhunasa","Dhanushadham Municipality",0,1,3,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,""
"179",20301,182,"Municipality ","Madhesh Province","Dhunasa","Ganeshman Charnath Municipality",0,0,5,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"180",20308,183,"Municipality ","Madhesh Province","Dhunasa","Hansapur Municipality",0,0,8,0,0,0,8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,""
"181",20312,184,"Rural Municipality","Madhesh Province","Dhunasa","Janak Nandini Rural Municipality",0,0,6,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,""
"182",20315,185,"Sub-Metropolitan City","Madhesh Province","Dhunasa","Janakpur Sub-Metropolitan City",1,0,10,1,0,1,13,16,29,NA,NA,NA,NA,NA,NA,NA,NA,""
"183",20311,186,"Municipality ","Madhesh Province","Dhunasa","Kamala Municipality",0,0,6,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,""
"184",20306,187,"Rural Municipality","Madhesh Province","Dhunasa","Laxminiya Rural Municipality",0,0,4,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,""
"185",20303,188,"Municipality ","Madhesh Province","Dhunasa","Mithila Municipality",0,0,7,0,0,0,7,1,8,NA,NA,NA,NA,NA,NA,NA,NA,""
"186",20307,189,"Municipality ","Madhesh Province","Dhunasa","Mithila Bihari Municipality",0,0,5,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"187",20318,190,"Rural Municipality","Madhesh Province","Dhunasa","Mukhiyapatti Musaharmiya Rural Municipality",0,0,4,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,""
"188",20317,191,"Municipality ","Madhesh Province","Dhunasa","Nagarain Municipality",0,0,5,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"189",20309,192,"Municipality ","Madhesh Province","Dhunasa","Sabaila Municipality",0,1,7,0,0,0,8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,""
"190",20310,193,"Municipality ","Madhesh Province","Dhunasa","Shahidnagar Municipality",0,1,8,0,0,0,9,0,9,NA,NA,NA,NA,NA,NA,NA,NA,""
"191",20404,194,"Municipality ","Madhesh Province","Mohattari","Aurahi Municipality",0,0,3,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,""
"192",20407,195,"Municipality ","Madhesh Province","Mohattari","Balawa Municipality",0,0,5,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"193",20401,196,"Municipality ","Madhesh Province","Mohattari","Bardibas Municipality",1,0,7,0,0,0,8,10,18,NA,NA,NA,NA,NA,NA,NA,NA,""
"194",20405,197,"Municipality ","Madhesh Province","Mohattari","Bhangaha Municipality",0,0,6,0,1,0,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,""
"195",20411,198,"Rural Municipality","Madhesh Province","Mohattari","Ekadara Rural Municipality",0,0,4,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,""
"196",20402,199,"Municipality ","Madhesh Province","Mohattari","Gaushala Municipality",0,1,6,1,0,0,8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,""
"197",20415,200,"Municipality ","Madhesh Province","Mohattari","Jaleshwor Municipality",1,0,6,3,0,2,12,3,15,NA,NA,NA,NA,NA,NA,NA,NA,""
"198",20406,201,"Municipality ","Madhesh Province","Mohattari","Loharpatti Municipality",0,1,4,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"199",20412,202,"Rural Municipality","Madhesh Province","Mohattari","Mahottari Rural Municipality",0,0,3,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,""
"200",20410,203,"Municipality ","Madhesh Province","Mohattari","Manara Shisawa Municipality",0,0,7,0,1,0,8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,""
"201",20414,204,"Municipality ","Madhesh Province","Mohattari","Matihani Municipality",0,0,4,0,1,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"202",20413,205,"Rural Municipality","Madhesh Province","Mohattari","Pipara Rural Municipality",0,0,5,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"203",20408,206,"Municipality ","Madhesh Province","Mohattari","Ram Gopalpur Municipality",0,0,4,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,""
"204",20409,207,"Rural Municipality","Madhesh Province","Mohattari","Samsi Rural Municipality",0,1,4,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"205",20403,208,"Rural Municipality","Madhesh Province","Mohattari","Sonama Rural Municipality",0,0,4,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,""
"206",20503,209,"Municipality ","Madhesh Province","Sarlahi","Bagmati Municipality",0,0,4,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,""
"207",20516,210,"Municipality ","Madhesh Province","Sarlahi","Balara Municipality",0,1,7,0,0,0,8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,""
"208",20504,211,"Municipality ","Madhesh Province","Sarlahi","Barahathawa Municipality",0,1,5,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,""
"209",20513,212,"Rural Municipality","Madhesh Province","Sarlahi","Basbariya Rural Municipality",0,0,4,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,""
"210",20518,213,"Rural Municipality","Madhesh Province","Sarlahi","Bishnu Rural Municipality",0,0,4,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,""
"211",20509,214,"Rural Municipality","Madhesh Province","Sarlahi","Brahmapuri Rural Municipality",0,0,4,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,""
"212",20512,215,"Rural Municipality","Madhesh Province","Sarlahi","Chakraghatta Rural Municipality",0,0,5,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"213",20510,216,"Rural Municipality","Madhesh Province","Sarlahi","Chandranagar Rural Municipality",0,0,4,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,""
"214",20514,217,"Rural Municipality","Madhesh Province","Sarlahi","Dhanakaul Rural Municipality",0,0,5,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"215",20517,218,"Municipality ","Madhesh Province","Sarlahi","Godaita Municipality",0,0,9,0,0,0,9,0,9,NA,NA,NA,NA,NA,NA,NA,NA,""
"216",20505,219,"Municipality ","Madhesh Province","Sarlahi","Haripur Municipality",0,1,4,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"217",20507,220,"Municipality ","Madhesh Province","Sarlahi","Haripurwa Municipality",0,0,3,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,""
"218",20502,221,"Municipality ","Madhesh Province","Sarlahi","Hariwan Municipality",0,0,4,0,0,0,4,3,7,NA,NA,NA,NA,NA,NA,NA,NA,""
"219",20506,222,"Municipality ","Madhesh Province","Sarlahi","Ishworpur Municipality",0,0,5,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"220",20511,223,"Municipality ","Madhesh Province","Sarlahi","Kabilashi Municipality",0,1,4,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"221",20519,224,"Rural Municipality","Madhesh Province","Sarlahi","Kaudena Rural Municipality",0,0,5,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"222",20501,225,"Municipality ","Madhesh Province","Sarlahi","Lalbandi Municipality",0,1,6,0,0,0,7,2,9,NA,NA,NA,NA,NA,NA,NA,NA,""
"223",20520,226,"Municipality ","Madhesh Province","Sarlahi","Malangawa Municipality",1,0,4,0,0,1,6,4,10,NA,NA,NA,NA,NA,NA,NA,NA,""
"224",20508,227,"Rural Municipality","Madhesh Province","Sarlahi","Parsa Rural Municipality",0,0,4,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,""
"225",20515,228,"Rural Municipality","Madhesh Province","Sarlahi","Ramnagar Rural Municipality",0,0,4,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,""
"226",31101,229,"Municipality ","Bagmati Province","Sindhuli","Dudhouli Municipality",0,1,9,2,0,0,12,3,15,NA,NA,NA,NA,NA,NA,NA,NA,""
"227",31107,230,"Rural Municipality","Bagmati Province","Sindhuli","Ghyanglekha Rural Municipality",0,0,5,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"228",31104,231,"Rural Municipality","Bagmati Province","Sindhuli","Golanjor Rural Municipality",0,0,7,0,1,0,8,3,11,NA,NA,NA,NA,NA,NA,NA,NA,""
"229",31109,232,"Rural Municipality","Bagmati Province","Sindhuli","Hariharpurgaghi Rural Municipality",0,0,4,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,""
"230",31105,233,"Municipality ","Bagmati Province","Sindhuli","Kamalamai Municipality",1,0,7,3,0,1,12,13,25,NA,NA,NA,NA,NA,NA,NA,NA,""
"231",31108,234,"Rural Municipality","Bagmati Province","Sindhuli","Marin Rural Municipality",0,1,2,0,1,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,""
"232",31102,235,"Rural Municipality","Bagmati Province","Sindhuli","Phikkal Rural Municipality",0,0,6,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,""
"233",31106,236,"Rural Municipality","Bagmati Province","Sindhuli","Sunkoshi Rural Municipality",0,0,5,0,0,0,5,2,7,NA,NA,NA,NA,NA,NA,NA,NA,""
"234",31103,237,"Rural Municipality","Bagmati Province","Sindhuli","Tinpatan Rural Municipality",0,2,6,0,1,0,9,0,9,NA,NA,NA,NA,NA,NA,NA,NA,""
"235",31007,238,"Rural Municipality","Bagmati Province","Ramechhap","Doramba Rural Municipality",0,0,6,0,3,0,9,0,9,NA,NA,NA,NA,NA,NA,NA,NA,""
"236",31002,239,"Rural Municipality","Bagmati Province","Ramechhap","Gokulganga Rural Municipality",0,0,6,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,""
"237",31006,240,"Rural Municipality","Bagmati Province","Ramechhap","Khandadevi Rural Municipality",0,0,8,0,4,0,12,0,12,NA,NA,NA,NA,NA,NA,NA,NA,""
"238",31003,241,"Rural Municipality","Bagmati Province","Ramechhap","Likhu Rural Municipality",0,1,5,0,2,0,8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,""
"239",31005,242,"Municipality ","Bagmati Province","Ramechhap","Manthali Municipality",0,2,9,9,0,0,20,5,25,NA,NA,NA,NA,NA,NA,NA,NA,""
"240",31004,243,"Municipality ","Bagmati Province","Ramechhap","Ramechhap Municipality",1,0,7,3,1,0,12,0,12,NA,NA,NA,NA,NA,NA,NA,NA,""
"241",31008,244,"Rural Municipality","Bagmati Province","Ramechhap","Sunapati Rural Municipality",0,0,5,0,2,0,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,""
"242",31001,245,"Rural Municipality","Bagmati Province","Ramechhap","Umakunda Rural Municipality",0,0,6,0,1,0,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,""
"243",30104,246,"Rural Municipality","Bagmati Province","Dolakha","Baiteshwor Rural Municipality",0,0,5,0,2,0,7,1,8,NA,NA,NA,NA,NA,NA,NA,NA,""
"244",30109,247,"Municipality ","Bagmati Province","Dolakha","Bhimeshwor Municipality",0,1,6,7,1,0,15,8,23,NA,NA,NA,NA,NA,NA,NA,NA,""
"245",30102,248,"Rural Municipality","Bagmati Province","Dolakha","Bigu Rural Municipality",0,0,8,0,2,0,10,0,10,NA,NA,NA,NA,NA,NA,NA,NA,""
"246",30101,249,"Rural Municipality","Bagmati Province","Dolakha","Gaurishankar Rural Municipality",0,1,6,0,0,0,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,""
"247",30105,250,"Municipality ","Bagmati Province","Dolakha","Jiri Municipality",1,0,3,1,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"248",30103,251,"Rural Municipality","Bagmati Province","Dolakha","Kalinchowk Rural Municipality",0,0,6,0,4,0,10,1,11,NA,NA,NA,NA,NA,NA,NA,NA,""
"249",30107,252,"Rural Municipality","Bagmati Province","Dolakha","Melung Rural Municipality",0,0,5,0,2,0,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,""
"250",30108,253,"Rural Municipality","Bagmati Province","Dolakha","Shailung Rural Municipality",0,0,6,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,""
"251",30106,254,"Rural Municipality","Bagmati Province","Dolakha","Tamakoshi Rural Municipality",0,0,7,0,1,0,8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,""
"252",30208,255,"Rural Municipality","Bagmati Province","Sindhupalchok","Balephi Rural Municipality",0,1,3,0,1,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"253",30209,256,"Municipality ","Bagmati Province","Sindhupalchok","Bahrabise Municipality",0,1,5,0,3,0,9,1,10,NA,NA,NA,NA,NA,NA,NA,NA,""
"254",30201,257,"Rural Municipality","Bagmati Province","Sindhupalchok","Bhotekoshi Rural Municipality",0,0,4,0,1,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"255",30207,258,"Municipality ","Bagmati Province","Sindhupalchok","Choutara Sangachowkgadhi Municipality",1,0,9,2,2,1,15,3,18,NA,NA,NA,NA,NA,NA,NA,NA,""
"256",30204,259,"Rural Municipality","Bagmati Province","Sindhupalchok","Helambu Rural Municipality",0,0,5,0,2,0,7,1,8,NA,NA,NA,NA,NA,NA,NA,NA,""
"257",30206,260,"Rural Municipality","Bagmati Province","Sindhupalchok","Indrawoti Rural Municipality",0,0,7,0,1,0,8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,""
"258",30202,261,"Rural Municipality","Bagmati Province","Sindhupalchok","Jugal Rural Municipality",0,0,6,0,1,0,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,""
"259",30211,262,"Rural Municipality","Bagmati Province","Sindhupalchok","Lisankhu Pakhar Rural Municipality",0,0,6,0,1,0,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,""
"260",30205,263,"Municipality ","Bagmati Province","Sindhupalchok","Melanchi Municipality",0,1,10,2,0,0,13,3,16,NA,NA,NA,NA,NA,NA,NA,NA,""
"261",30203,264,"Rural Municipality","Bagmati Province","Sindhupalchok","Panchpokhari Thangpal Rural Municipality",0,0,8,0,0,0,8,1,9,NA,NA,NA,NA,NA,NA,NA,NA,""
"262",30212,265,"Rural Municipality","Bagmati Province","Sindhupalchok","Sunkoshi Rural Municipality",0,0,6,0,2,0,8,1,9,NA,NA,NA,NA,NA,NA,NA,NA,""
"263",30210,266,"Rural Municipality","Bagmati Province","Sindhupalchok","Tripurasundari Rural Municipality",0,0,6,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,""
"264",30904,267,"Municipality ","Bagmati Province","Kavrepalanchok","Banepa Municipality",0,0,5,2,0,0,7,22,29,NA,NA,NA,NA,NA,NA,NA,NA,""
"265",30910,268,"Rural Municipality","Bagmati Province","Kavrepalanchok","Bethanchowk Rural Municipality",0,0,5,0,0,0,5,1,6,NA,NA,NA,NA,NA,NA,NA,NA,""
"266",30902,269,"Rural Municipality","Bagmati Province","Kavrepalanchok","Bhumlu Rural Municipality",0,0,9,0,1,0,10,0,10,NA,NA,NA,NA,NA,NA,NA,NA,""
"267",30901,270,"Rural Municipality","Bagmati Province","Kavrepalanchok","Chauri Deurali Rural Municipality",0,0,9,0,0,0,9,3,12,NA,NA,NA,NA,NA,NA,NA,NA,""
"268",30905,271,"Municipality ","Bagmati Province","Kavrepalanchok","Dhulikhel Municipality",0,1,6,3,0,0,10,1,11,NA,NA,NA,NA,NA,NA,NA,NA,""
"269",30913,272,"Rural Municipality","Bagmati Province","Kavrepalanchok","Khanikhola Rural Municipality",0,0,5,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"270",30912,273,"Rural Municipality","Bagmati Province","Kavrepalanchok","Mahabharat Rural Municipality",0,0,5,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"271",30903,274,"Municipality ","Bagmati Province","Kavrepalanchok","Mandan Deupur Municipality",0,0,7,0,1,0,8,1,9,NA,NA,NA,NA,NA,NA,NA,NA,""
"272",30908,275,"Municipality ","Bagmati Province","Kavrepalanchok","Namobuddha Municipality",1,0,7,0,0,0,8,1,9,NA,NA,NA,NA,NA,NA,NA,NA,""
"273",30909,276,"Municipality ","Bagmati Province","Kavrepalanchok","Panauti Municipality",0,2,8,2,3,0,15,2,17,NA,NA,NA,NA,NA,NA,NA,NA,""
"274",30906,277,"Municipality ","Bagmati Province","Kavrepalanchok","Panchkhal Municipality",0,1,6,0,0,1,8,3,11,NA,NA,NA,NA,NA,NA,NA,NA,""
"275",30911,278,"Rural Municipality","Bagmati Province","Kavrepalanchok","Roshi Rural Municipality",0,0,10,0,1,0,11,1,12,NA,NA,NA,NA,NA,NA,NA,NA,""
"276",30907,279,"Rural Municipality","Bagmati Province","Kavrepalanchok","Temal Rural Municipality",0,0,7,0,1,0,8,1,9,NA,NA,NA,NA,NA,NA,NA,NA,""
"277",30806,280,"Rural Municipality","Bagmati Province","Lalitpur","Bagmati Rural Municipality",0,0,7,0,0,0,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,""
"278",30803,281,"Municipality ","Bagmati Province","Lalitpur","Godawari Municipality",0,3,10,1,0,0,14,15,29,NA,NA,NA,NA,NA,NA,NA,NA,""
"279",30804,282,"Rural Municipality","Bagmati Province","Lalitpur","Konjyosom Rural Municipality",0,0,5,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"280",30802,283,"Metropolitan City","Bagmati Province","Lalitpur","Lalitpur Metropolitan City",3,0,6,6,1,1,17,167,184,NA,NA,NA,NA,NA,NA,NA,NA,""
"281",30801,284,"Municipality ","Bagmati Province","Lalitpur","Mahalaxmi Municipality",0,1,4,0,0,0,5,4,9,NA,NA,NA,NA,NA,NA,NA,NA,""
"282",30805,285,"Rural Municipality","Bagmati Province","Lalitpur","Mahankal Rural Municipality",0,0,6,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,""
"283",30702,286,"Municipality ","Bagmati Province","Bhaktapur","Bhaktapur Municipality",2,0,0,2,0,2,6,29,35,NA,NA,NA,NA,NA,NA,NA,NA,""
"284",30701,287,"Municipality ","Bagmati Province","Bhaktapur","Changunarayan Municipality",0,1,7,0,1,0,9,3,12,NA,NA,NA,NA,NA,NA,NA,NA,""
"285",30703,288,"Municipality ","Bagmati Province","Bhaktapur","Madhyapur Thimi Municipality",1,0,5,2,1,1,10,16,26,NA,NA,NA,NA,NA,NA,NA,NA,""
"286",30704,289,"Municipality ","Bagmati Province","Bhaktapur","Suryabinayak Municipality",0,1,7,0,0,0,8,6,14,NA,NA,NA,NA,NA,NA,NA,NA,""
"287",30604,290,"Municipality ","Bagmati Province","Kathmandu","Budhanilkhantha Municipality",0,0,6,0,0,0,6,5,11,NA,NA,NA,NA,NA,NA,NA,NA,""
"288",30610,291,"Municipality ","Bagmati Province","Kathmandu","Chandragiri Municipality",0,0,11,0,0,0,11,7,18,NA,NA,NA,NA,NA,NA,NA,NA,""
"289",30611,292,"Municipality ","Bagmati Province","Kathmandu","Dakshinkali Municipality",0,1,5,2,0,0,8,3,11,NA,NA,NA,NA,NA,NA,NA,NA,""
"290",30603,293,"Municipality ","Bagmati Province","Kathmandu","Gokarneshwor Municipality",0,1,4,0,0,0,5,14,19,NA,NA,NA,NA,NA,NA,NA,NA,""
"291",30602,294,"Municipality ","Bagmati Province","Kathmandu","Kageshwori Manahara Municipality",0,1,5,0,0,0,6,1,7,NA,NA,NA,NA,NA,NA,NA,NA,""
"292",30608,295,"Metropolitan City","Bagmati Province","Kathmandu","Kathmandu Metropolitan City",14,1,0,30,0,6,51,885,936,NA,NA,NA,NA,NA,NA,NA,NA,""
"293",30609,296,"Municipality ","Bagmati Province","Kathmandu","Kirtipur Municipality",0,1,7,0,0,0,8,6,14,NA,NA,NA,NA,NA,NA,NA,NA,""
"294",30607,297,"Municipality ","Bagmati Province","Kathmandu","Nagarjun Municipality",0,1,4,0,0,0,5,5,10,NA,NA,NA,NA,NA,NA,NA,NA,""
"295",30601,298,"Municipality ","Bagmati Province","Kathmandu","Shankharapur Municipality",0,0,6,0,0,0,6,4,10,NA,NA,NA,NA,NA,NA,NA,NA,""
"296",30606,299,"Municipality ","Bagmati Province","Kathmandu","Tarakeshwor Municipality",0,1,6,5,0,0,12,3,15,NA,NA,NA,NA,NA,NA,NA,NA,""
"297",30605,300,"Municipality ","Bagmati Province","Kathmandu","Tokha Municipality",0,1,4,0,0,0,5,15,20,NA,NA,NA,NA,NA,NA,NA,NA,""
"298",30508,301,"Municipality ","Bagmati Province","Nuwakot","Belkotgadhi Municipality",0,0,7,0,2,0,9,1,10,NA,NA,NA,NA,NA,NA,NA,NA,""
"299",30504,302,"Municipality ","Bagmati Province","Nuwakot","Bidur Municipality",1,0,6,4,1,1,13,9,22,NA,NA,NA,NA,NA,NA,NA,NA,""
"300",30501,303,"Rural Municipality","Bagmati Province","Nuwakot","Dupcheshwor Rural Municipality",0,0,7,0,0,0,7,1,8,NA,NA,NA,NA,NA,NA,NA,NA,""
"301",30512,304,"Rural Municipality","Bagmati Province","Nuwakot","Kakani Rural Municipality",0,1,5,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,""
"302",30505,305,"Rural Municipality","Bagmati Province","Nuwakot","Kispang Rural Municipality",0,0,6,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,""
"303",30509,306,"Rural Municipality","Bagmati Province","Nuwakot","Likhu Rural Municipality",0,0,3,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,""
